Spring 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,42,-14.3%,24,-88.6%,0,-100.0%,,,66,-83.6%,
Gender,Female,21,-19.2%,14,-87.7%,0,-100.0%,,,35,-83.5%,
,Male,21,-8.7%,10,-89.6%,0,-100.0%,,,31,-83.8%,
Ethnicity,White,2,-33.3%,10,-89.8%,0,-100.0%,,,12,-91.9%,
,Black,,,1,-80.0%,0,-100.0%,,,1,-88.9%,
,Hispanic,0,-100.0%,2,-80.0%,0,-100.0%,,,2,-87.5%,
,Asian,0,-100.0%,1,-75.0%,0,-100.0%,,,1,-90.0%,
,American Indian,,,,,,,,,,,
,International,39,-9.3%,8,-91.0%,0,-100.0%,,,47,-78.0%,
,Unknown/Other,1,100.0%,2,-50.0%,0,-100.0%,,,3,-40.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,9,-40.0%,,,,,,,9,-40.0%,
,22-25,30,-9.1%,12,-89.7%,0,-100.0%,,,42,-73.2%,
,26-30,2,100.0%,6,-89.5%,0,-100.0%,,,8,-93.6%,
,31-39,1,100.0%,6,-82.4%,0,-100.0%,,,7,-92.2%,
,40+,,,0,-100.0%,0,-100.0%,,,0,-100.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,8,-66.7%,,,,,8,-66.7%,
,1st Time Graduate,,,0,-100.0%,0,-100.0%,,,0,-100.0%,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,42,-14.3%,16,-90.2%,0,-100.0%,,,58,-83.7%,
Tuition,Resident Tuition,1,-66.7%,15,-84.4%,0,-100.0%,,,16,-88.6%,
Status,Non-Resident  Tuition,41,-10.9%,6,-80.0%,0,-100.0%,,,47,-48.4%,
,Tuition Exemption/Waiver,,,3,-96.4%,0,-100.0%,,,3,-98.3%,
Residency,Texas Resident,1,-66.7%,15,-84.7%,0,-100.0%,,,16,-89.0%,
Status,"Non-TX, US Resident",,,1,-95.5%,0,-100.0%,,,1,-97.4%,
,"Non-TX, Non-US Resident",41,-10.9%,8,-91.1%,0,-100.0%,,,49,-77.5%,
SCH,< 6 SCH,0,-100.0%,15,-65.9%,0,-100.0%,,,15,-76.2%,
Categories,6-8 SCH,,,3,-82.4%,0,-100.0%,,,3,-85.0%,
,9-11 SCH,,,4,-97.0%,0,-100.0%,,,4,-98.4%,
,12-14 SCH,23,0.0%,2,-86.7%,0,-100.0%,,,25,-37.5%,
,15-17 SCH,16,-27.3%,0,-100.0%,0,-100.0%,,,16,-44.8%,
,>17 SCH,3,0.0%,,,,,,,3,0.0%,
Ft/Pt:,Less Than Half Time,,,15,-61.5%,0,-100.0%,,,15,-70.6%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,3,-85.0%,0,-100.0%,,,3,-89.3%,
,Full-Time,42,-14.3%,6,-96.0%,0,-100.0%,,,48,-85.2%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,
