Texas A&M University,,,,,
Office of Institutional Studies and Planning,,,,,
Demographic Summary,,,,,
for the Corps of Cadets Spring 2009,,,,,
Enrollment Profile – Spring 2009,,,,,
Official Certified 12th Class Day Data,,,,,
Spring 2009,,Not in Corps,In Corps,Grand Total,
Head Count,Total,"42,721","1,999","44,720",
Gender,Female,"20,805",234,"21,039",
,Male,"21,916","1,765","23,681",
Ethnicity,White,"30,014","1,588","31,602",
,Black,"1,411",35,"1,446",
,Hispanic,"5,265",283,"5,548",
,Asian,"1,827",61,"1,888",
,American Indian,225,20,245,
,International,"3,800",9,"3,809",
,Unknown/Other,179,3,182,
TAMU Age,<18,4,,4,
Categories,18-21,"20,169","1,134","21,303",
,22-25,"15,630",786,"16,416",
,26-30,"3,789",70,"3,859",
,31-39,"2,182",7,"2,189",
,40+,947,2,949,
College,Agriculture,"6,002",329,"6,331",
,Architecture,"1,747",101,"1,848",
,Business Admin,"4,729",107,"4,836",
,Education,"5,041",112,"5,153",
,Engineering,"9,064",446,"9,510",
,G. Bush School of Govt,293,10,303,
,Geosciences,798,45,843,
,Liberal Arts,"6,181",455,"6,636",
,Science,"2,682",66,"2,748",
,Veterinary Medicine,"2,139",44,"2,183",
,General Studies,"3,979",284,"4,263",
,Other - Special Populations,66,,66,
Enrollment,1st Time in College,70,4,74,
Status,1st Time PB,109,2,111,
,1st Time Graduate,547,9,556,
,1st Time Transfer,710,2,712,
,Readmitted,253,10,263,
,Continuing,"41,032","1,972","43,004",
Tuition,Resident Tuition,"36,326","1,730","38,056",
Status,Non-Resident Tuition,"1,805",7,"1,812",
,Tuition Exemption/Waiver,"4,590",262,"4,852",
Residency,Texas Resident,"36,799","1,750","38,549",
Status,"Non-TX, US Resident","2,093",238,"2,331",
,"Non-TX, Non-US Resident","3,829",11,"3,840",
SCH,< 6 SCH,"2,437",28,"2,465",
Categories,6-8 SCH,"1,922",81,"2,003",
,9-11 SCH,"6,994",71,"7,065",
,12-14 SCH,"17,360",765,"18,125",
,15-17 SCH,"12,416",918,"13,334",
,>17 SCH,"1,592",136,"1,728",
Ft/Pt:,Less Than Half Time,"2,054",27,"2,081",
TAMU,Half-Time,"1,818",80,"1,898",
Status,Three-Quarter Time,"1,567",54,"1,621",
,Full-Time,"37,282","1,838","39,120",
"Prepared by OISP, 01 Apr 09",,,,,
