"Spring 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             MARB
MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
1
1
4
4
1
1
12","Sophomore
1
1
2
3
3
10","Junior
1
2
1
1
2
7
1
1
1
1
35","Senior
1
2
2
1
4
1
11
36","PB
2","Total
1
3
4
1
2
1
3
6
1
22
2
2
1
1
7
7
1
1
95",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,3,5,2,2,6,6,5,
,,,,,,,2,3,5,,,,,5,
,,,,,,,,1,1,,,,,3,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,3,3,,,4,
,,,,,,,1,,1,2,2,,,4,
,,,,,,,,,,,,,,3,
,,,,,,,,,,1,1,,,5,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,,3,3,,,,,4,
,,,,,,,,,,2,2,,,5,
,,,,,,,,1,1,,,,,7,
,,,,,,,,3,3,1,1,,,5,
,,,,,,,1,8,9,8,8,,,39,
,,,,,,,,,,,,,,2,
,,,,,,,,,,3,3,,,3,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,3,3,,,6,
,,,,,,,,,,,,,,7,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,2,2,6,6,9,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,7,
,,,,,,,1,,1,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,1,,1,,,,,1,
,,,,,,,2,,2,,,,,3,
,,,,,,,6,40,46,35,35,6,6,182,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,
