Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Spring 2009,,,,,,,,,,,,
Enrollment Profile – Spring 2009,,,,,,,,,,,,
Official Certified 12th Class Day Data,,,,,,,,,,,,
Spring 2009,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"13,040",-0.4%,"1,288",5.4%,604,-1.0%,325,0.3%,"15,257",0.1%,
,Black,587,5.0%,71,-2.7%,126,11.5%,,,784,5.2%,
,Hispanic,"2,417",13.7%,167,9.9%,140,2.2%,28,7.7%,"2,752",12.7%,
,Asian,724,3.1%,63,1.6%,40,14.3%,16,0.0%,843,3.4%,
,American Indian,111,6.7%,4,-60.0%,11,22.2%,2,0.0%,128,2.4%,
,International,188,19.7%,573,11.3%,435,-0.5%,,,"1,196",7.8%,
,Unknown/Other,40,17.6%,18,38.5%,15,25.0%,6,0.0%,79,21.5%,
,Subtotal,"17,107",2.0%,"2,184",6.7%,"1,371",1.3%,377,0.8%,"21,039",2.4%,
Male,White,"14,097",-0.8%,"1,471",-1.9%,666,5.9%,111,-5.9%,"16,345",-0.7%,
,Black,537,13.5%,59,-3.3%,65,10.2%,1,0.0%,662,11.4%,
,Hispanic,"2,466",9.2%,207,15.6%,113,1.8%,10,11.1%,"2,796",9.3%,
,Asian,914,8.3%,93,20.8%,36,-14.3%,2,0.0%,"1,045",8.3%,
,American Indian,103,10.8%,6,-33.3%,8,0.0%,,,117,6.4%,
,International,386,19.1%,"1,230",14.3%,997,-2.7%,,,"2,613",7.8%,
,Unknown/Other,55,14.6%,28,21.7%,20,-16.7%,0,-100.0%,103,7.3%,
,Subtotal,"18,558",1.7%,"3,094",5.8%,"1,905",0.4%,124,-5.3%,"23,681",2.0%,
Grand Total,,"35,665",1.8%,"5,278",6.2%,"3,276",0.8%,501,-0.8%,"44,720",2.2%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,
