Spring 2009,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Geosciences,ATMO,4,18,1,2,6,6,3,4,1,1,7,16,1,3,11,37,48,
,ENGS,23,32,,,,,,,,,,1,,,29,43,72,
,ENST,19,22,,,2,5,,2,,,,,,,22,29,51,
,GEOG,30,74,1,,5,5,,2,,,8,19,,1,47,104,151,
,GEOL,57,116,1,,5,11,,1,,,15,15,,,79,143,222,
,GEOP,6,24,2,1,,2,,2,,1,8,15,,,16,45,61,
,GEOS,1,1,,,,,,,,,,,,,1,1,2,
,METR,46,50,,1,10,13,,,,1,1,,,,57,65,122,
,OCNG,28,17,,,1,2,,1,,,12,13,,,41,33,74,
,SPSG,3,6,,,,,,,,,,,,,3,6,9,
,WMHS,7,15,,,,1,,,,,4,4,,,11,20,31,
,Subtotal,224,375,5,4,29,45,3,12,1,3,55,83,,4,317,526,843,
Liberal Arts,AMST,3,4,1,,2,,,,,,,,,,6,4,10,
,ANTH,110,64,1,1,14,6,3,4,1,1,4,8,,2,134,86,220,
,ANTL,,,,,,,,,,,,,1,,1,,1,
,CLSS,5,6,,,,3,,,,,,,,,5,9,14,
,COML,,1,,,,,,,,,,,,,,1,1,
,COMM,613,155,17,9,80,21,5,4,8,,7,7,5,,735,196,931,
,ECON,50,252,2,2,9,29,10,29,,1,34,66,,1,105,380,485,
,ENGL,429,124,19,8,64,18,13,9,3,2,16,12,,,544,173,717,
,FREN,7,3,,,1,1,1,,,,,,1,,10,4,14,
,GERM,1,,,,,,,1,1,,,,,,2,1,3,
,HISP,9,2,,,9,5,,,,,,4,,,18,11,29,
,HIST,212,398,3,8,27,62,3,5,2,2,1,2,,4,248,481,729,
,INTS,238,134,9,5,76,31,12,2,6,,3,3,2,1,346,176,522,
,MODL,3,1,,,3,3,1,,,,1,,,,8,4,12,
,MUSC,9,10,2,2,1,5,,,,,,,,,12,17,29,
,NUTR,3,,,,,,,,,,,,,,3,,3,
,PHIL,25,71,1,,2,12,,1,,1,,,2,2,30,87,117,
,POLS,250,395,32,15,65,70,15,14,4,1,5,6,2,3,373,504,877,
,PSYC,635,235,48,9,155,54,41,14,7,1,6,2,4,3,896,318,1214,
,RUSS,4,3,,,,,,,,,1,,,,5,3,8,
,SOCI,188,71,32,14,65,25,13,4,2,3,10,3,2,3,312,123,435,
,SPAN,43,13,1,1,21,18,,,,,,1,,,65,33,98,
,TCMS,45,50,3,,5,4,1,4,1,,,1,,,55,59,114,
,THAR,25,13,,,7,6,1,,,,,,,,33,19,52,
,USLA,1,,,,,,,,,,,,,,1,,1,
,Subtotal,"2,908","2,005",171,74,606,373,119,91,35,12,88,115,20,19,"3,947","2,689",6636,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,,,,,
