"Spring 2009
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             MARB
MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
2
1
2
1
1
3
2
12
2
2
4
7
7
11
11
74","1st Time PB
1
1
20","1st Time Transfer
6
14
34
14
11
3
18
18
3
29
4
154
29
2
1
32
1
1
64
64
712","Readmitted
2
4
4
9
7
1
11
9
1
10
58
4
1
5
3
3
38
38
245","Continuing
109
513
934
347
584
39
93
631
89
794
77
1,098
334
5,642
1,367
212
5
261
106
1,951
1,534
1,534
4,150
4,150
1
41
42
34,614",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,1,1,9,59,1,1,43,501,221,
,,,,,,,,,1,,,,,534,
,,,,,,,,,23,,,49,,"1,045",
,,,,,,1,,,58,,,55,,485,
,,,,,,,1,,31,,,81,,717,
,,,,,,,,,,,,,,39,
,,,,,,,1,,18,,,22,,139,
,,,,,,2,,,21,1,,42,,729,
,,,,,,,,,20,,,8,,117,
,,,,,,,,,10,,,43,,877,
,,,,,,,,,,,,,,81,
,,,,,,,,,31,4,,42,,"1,214",
,,,,,,1,,,30,2,,65,,438,
,,,,,,5,3,,302,8,1,450,,"6,636",
,,,,,,,,,31,,,65,,"1,498",
,,,,,,1,2,,127,1,,113,,459,
,,,,,,,,,,,,,,5,
,,,,,,1,8,,68,,,63,,403,
,,,,,,,1,,49,1,,86,,244,
,,,,,,9,14,,60,5,,51,,139,
,,,,,,11,25,,335,7,,378,,"2,748",
,,,,,,,1,,10,,,3,,"2,060",
,,,,,,,2,,17,,,26,,45,
,,,,,,,,,4,,,,,4,
,,,,,,,,,7,,,1,,8,
,,,,,,,2,,16,,,24,,42,
,,,,,,,1,,10,2,,11,,24,
,,,,,,,6,,64,2,,65,501,"2,183",
,,,,,,,,,,,,,,"4,263",
,,,,,,,,,,,,,,"4,263",
,,,,,,1,,,7,,,,,8,
,,,,,,,,,1,,,,,2,
,,,,,,,,,1,,,,,1,
,,,,,,1,,,2,,,,,44,
,,,,,,6,,,5,,,,,11,
,,,,,,8,,,16,,,,,66,
,,,,,,91,462,,"4,716",94,9,"3,173",501,"44,720",
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,
