Spring 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,537,11.9%,172,31.3%,134,5.5%,,,843,14.2%,
Gender,Female,197,9.4%,73,25.9%,47,6.8%,,,317,12.4%,
,Male,340,13.3%,99,35.6%,87,4.8%,,,526,15.4%,
Ethnicity,White,433,5.9%,113,36.1%,53,15.2%,,,599,11.3%,
,Black,6,100.0%,1,-66.7%,2,100.0%,,,9,28.6%,
,Hispanic,66,53.5%,7,-22.2%,1,100.0%,,,74,42.3%,
,Asian,11,-8.3%,3,200.0%,1,0.0%,,,15,7.1%,
,American Indian,2,0.0%,1,0.0%,1,0.0%,,,4,0.0%,
,International,19,90.0%,46,43.8%,73,-2.7%,,,138,17.9%,
,Unknown/Other,0,-100.0%,1,-50.0%,3,0.0%,,,4,-33.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,261,24.9%,,,,,,,261,24.9%,
,22-25,241,0.4%,76,31.0%,2,100.0%,,,319,6.7%,
,26-30,27,68.8%,63,34.0%,55,-3.5%,,,145,20.8%,
,31-39,5,-44.4%,26,8.3%,60,9.1%,,,91,3.4%,
,40+,3,-50.0%,7,250.0%,17,21.4%,,,27,22.7%,
Enrollment,1st Time in College,2,0.0%,,,,,,,2,0.0%,
Status,1st Time PB,2,100.0%,3,-25.0%,,,,,5,25.0%,
,1st Time Graduate,,,19,280.0%,5,25.0%,,,24,166.7%,
,1st Time Transfer,27,42.1%,,,,,,,27,42.1%,
,Readmitted,5,0.0%,0,-100.0%,,,,,5,-16.7%,
,Continuing,501,10.4%,150,24.0%,129,4.9%,,,780,11.7%,
Tuition,Resident Tuition,491,11.1%,83,29.7%,29,38.1%,,,603,14.4%,
Status,Non-Resident  Tuition,24,41.2%,18,80.0%,11,0.0%,,,53,39.5%,
,Tuition Exemption/Waiver,22,4.8%,71,24.6%,94,-1.1%,,,187,8.1%,
Residency,Texas Resident,498,10.9%,84,29.2%,30,36.4%,,,612,14.2%,
Status,"Non-TX, US Resident",19,-5.0%,42,23.5%,31,3.3%,,,92,9.5%,
,"Non-TX, Non-US Resident",20,81.8%,46,43.8%,73,-2.7%,,,139,17.8%,
SCH,< 6 SCH,9,125.0%,22,46.7%,18,38.5%,,,49,53.1%,
Categories,6-8 SCH,15,-28.6%,8,0.0%,2,-33.3%,,,25,-21.9%,
,9-11 SCH,25,13.6%,132,29.4%,113,1.8%,,,270,14.9%,
,12-14 SCH,257,18.4%,8,166.7%,1,100.0%,,,266,20.9%,
,15-17 SCH,218,8.5%,1,-66.7%,,,,,219,7.4%,
,>17 SCH,13,-13.3%,1,100.0%,,,,,14,-6.7%,
Ft/Pt:,Less Than Half Time,8,100.0%,19,26.7%,17,41.7%,,,44,41.9%,
"TAMU
Status","Half-Time
Three-Quarter Time","14
25","-30.0%
13.6%",8,60.0%,2,0.0%,,,"24
25","-11.1%
13.6%",
,Full-Time,490,12.9%,145,30.6%,115,1.8%,,,750,14.0%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,
