Spring 2009,,Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
"General Studies       GEST
TEAM",,11,,64,38,"3,470
680",,,,,,,,,"3,583
680",
,Subtotal,11,,64,38,"4,150",,,,,,,,,"4,263",
"Other - Special        MARB
Populations             MARM MDSC PHLT REEP",,,,,,"1
41","1
6
1",,,"1
1
7
5
2",,,,,"2
1
8
11
44",
University,Subtotal Total,74,20,712,245,"42
34,614","8
91",462,9,"16
4,716",94,9,"3,173",501,"66
44,720",
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
