Spring 2009,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
"Engineering        AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN MSEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG USEN WMHS",,"28
38
49
70
10
6
1
1
48
87
11
13
35
123
14
29
1
5
13
2
22
61
16
51
1
43
70
9
13
4
19
47
28
8
6","152
257
64
87
69
82
50
41
155
233
1
151
94
146
401
134
206
3
6
126
147
6
77
250
89
184
1
220
559
6
71
123
34
115
288
103
8
5
1
1","1
3
2
2
1
1
3
2
1
2
1
4
1
1
2
3
4
5
1
3
5
1
1
1
2
1","8
5
1
2
7
3
3
6
6
4
3
4
8
12
15
1
4
7
2
7
6
5
3
10
3
2
1
3
11
1","8
8
12
14
3
2
2
1
16
18
2
3
10
21
5
9
1
7
6
2
9
11
29
4
10
1
1
2
3
4
10
2
1","36
34
12
11
28
17
10
7
20
28
15
13
26
74
40
51
1
1
23
28
18
38
25
51
40
63
3
9
11
6
29
26
16
6
2","2
7
9
2
3
13
16
1
3
1
8
2
4
1
1
1
4
1
6
2
1
1
8
1
2","12
10
21
21
6
8
8
10
20
19
9
10
8
24
18
34
1
9
13
1
1
9
4
11
8
31
9
6
1
7
25
8
1
1","1
1
1
1
1
1
1","2
1
1
3
1
2
1
1
3
2
1
1
1
3
1
2
1
6","1
9
12
1
7
12
8
36
25
1
46
2
57
2
4
41
59
11
2
1
2
39
7
3","5
47
2
29
4
54
7
67
13
78
2
96
5
4
180
10
262
2
1
2
3
1
2
7
169
5
239
32
8
18
1
33
169
16","1
1
1
1
1","1
1
1
1
2
1
1
2
2
2
1
5
2
1
1
5
1","38
58
71
108
19
20
3
14
86
161
41
21
49
201
23
103
1
1
14
23
2
26
74
35
130
2
51
151
16
11
19
8
28
106
36
13
7
3","215
354
101
150
114
166
79
125
217
366
3
279
126
189
689
219
572
7
10
164
199
8
99
309
134
422
1
278
913
41
102
161
44
187
524
144
15
8
2
1","253
412
172
258
133
186
82
139
303
527
3
320
147
238
890
242
675
8
11
178
222
10
125
383
169
552
3
329
1064
57
113
180
52
215
630
180
28
15
3
2
1",
,Subtotal,982,"4,746",54,153,237,818,100,384,7,33,388,"1,573",5,30,"1,773","7,737",9510,
G. Bush,CAIA,20,33,1,2,2,5,1,3,,1,4,1,1,1,24,44,68,
"School of
Govt",CHLS,"6
14","16
4",,"1
2",1,"1
1",,,,,,,,,"7
15","19
8","26
23",
,INTA,25,49,2,2,3,2,1,,,,,6,,2,35,61,96,
,PSAA,31,32,1,3,4,6,,,,,7,5,,1,43,47,90,
,Subtotal,96,134,4,10,10,15,2,3,,1,11,12,1,4,124,179,303,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,,,,,
