Spring 2009,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,AGBL,147,15.7%,1,0.0%,14,75.0%,3,100.0%,3,-25.0%,2,0.0%,1,100.0%,168,21.7%,
,AGBU,127,23.3%,,,14,366.7%,2,100.0%,,,17,142.9%,,,160,41.6%,
,AGCJ,110,17.0%,2,100.0%,8,-33.3%,1,100.0%,,,,,,,121,13.1%,
,AGEC,350,0.9%,5,66.7%,31,24.0%,5,66.7%,,,69,7.8%,0,-100.0%,463,3.6%,
,AGED,78,0.0%,12,9.1%,6,0.0%,1,100.0%,0,-100.0%,5,66.7%,1,0.0%,103,3.0%,
,AGEN,16,-64.4%,0,-100.0%,3,0.0%,1,0.0%,,,1,100.0%,,,21,-58.0%,
,AGLS,99,-62.9%,17,-56.4%,32,-39.6%,6,-40.0%,2,0.0%,2,-71.4%,2,-50.0%,160,-58.1%,
,AGRO,114,8.6%,2,-33.3%,11,83.3%,3,50.0%,3,0.0%,6,0.0%,2,100.0%,141,11.9%,
,AGSC,105,16.7%,1,100.0%,6,-14.3%,,,,,0,-100.0%,,,112,14.3%,
,AGSM,125,5.0%,2,0.0%,8,-20.0%,4,0.0%,,,,,1,0.0%,140,2.9%,
,ALED,526,-9.3%,52,13.0%,51,-8.9%,3,-62.5%,5,0.0%,4,100.0%,3,100.0%,644,-7.6%,
,ANBR,5,25.0%,,,,,,,,,,,,,5,25.0%,
,ANSC,651,-5.8%,10,42.9%,94,5.6%,7,16.7%,6,-14.3%,7,0.0%,2,-33.3%,777,-4.1%,
,BAEN,90,30.4%,3,0.0%,14,100.0%,7,75.0%,1,100.0%,36,0.0%,,,151,26.9%,
,BESC,100,-7.4%,14,7.7%,33,-5.7%,13,8.3%,1,100.0%,2,100.0%,,,163,-3.6%,
,BICH,148,-2.0%,9,-10.0%,29,0.0%,29,-3.3%,1,100.0%,40,-21.6%,2,0.0%,258,-5.5%,
,BIOT,3,100.0%,,,1,100.0%,,,,,28,100.0%,,,32,100.0%,
,BSEN,5,0.0%,,,,,,,,,,,,,5,0.0%,
,CDEV,6,200.0%,1,100.0%,,,1,100.0%,,,,,1,100.0%,9,350.0%,
,DASC,5,25.0%,,,1,0.0%,,,,,0,-100.0%,,,6,0.0%,
,ECOR,8,14.3%,,,1,-50.0%,,,,,,,,,9,0.0%,
,ENST,7,-30.0%,0,-100.0%,2,0.0%,,,,,,,,,9,-30.8%,
,ENTO,87,1.2%,6,50.0%,28,-6.7%,3,-25.0%,1,0.0%,10,11.1%,1,0.0%,136,0.7%,
,FISC,1,0.0%,1,100.0%,1,100.0%,,,,,,,,,3,200.0%,
,FIVL,26,1200.0%,4,100.0%,13,100.0%,,,,,,,,,43,975.0%,
,FLOR,3,50.0%,1,0.0%,,,,,,,0,-100.0%,,,4,0.0%,
,FORS,25,-7.4%,1,-50.0%,3,100.0%,,,,,4,-20.0%,,,33,-2.9%,
,FSTC,78,14.7%,7,133.3%,23,21.1%,4,-20.0%,1,100.0%,20,566.7%,,,133,35.7%,
,GENE,80,-8.0%,4,300.0%,17,-10.5%,10,0.0%,0,-100.0%,15,200.0%,2,-33.3%,128,1.6%,
,HORT,138,-6.8%,0,-100.0%,20,11.1%,2,-33.3%,3,200.0%,19,11.8%,,,182,-3.2%,
,MEPS,8,100.0%,,,2,100.0%,,,,,13,100.0%,,,23,100.0%,
,NRDV,12,71.4%,,,1,100.0%,,,,,1,0.0%,,,14,75.0%,
,NUSC,375,-7.4%,12,-14.3%,91,2.2%,23,-14.8%,3,0.0%,6,20.0%,1,0.0%,511,-6.1%,
,NUTR,23,666.7%,1,100.0%,2,100.0%,,,,,13,333.3%,,,39,550.0%,
,PLBR,14,55.6%,1,0.0%,2,0.0%,1,100.0%,,,13,44.4%,0,-100.0%,31,40.9%,
,PLPA,7,-22.2%,,,4,0.0%,,,,,14,75.0%,2,0.0%,27,17.4%,
,POSC,125,-6.7%,3,50.0%,21,40.0%,1,-66.7%,4,100.0%,11,10.0%,1,-50.0%,166,-1.2%,
,PPRO,1,100.0%,,,,,,,,,,,,,1,100.0%,
,PREP,19,11.8%,2,0.0%,0,-100.0%,0,-100.0%,,,4,-20.0%,,,25,-3.8%,
,PSSC,2,100.0%,,,2,100.0%,,,,,1,0.0%,,,5,66.7%,
,RENR,34,41.7%,,,4,100.0%,1,0.0%,,,,,,,39,44.4%,
,RLEM,115,-10.9%,4,100.0%,18,5.9%,1,100.0%,,,2,-60.0%,1,0.0%,141,-8.4%,
,RPTS,257,-11.1%,10,-16.7%,26,-18.8%,4,33.3%,3,0.0%,29,-9.4%,3,50.0%,332,-11.0%,
,SOSC,15,15.4%,,,2,100.0%,1,100.0%,,,8,0.0%,,,26,23.8%,
,SPSA,45,9.8%,,,6,50.0%,0,-100.0%,,,,,,,51,10.9%,
,TOXI,,,,,1,100.0%,,,,,1,100.0%,,,2,100.0%,
,USAL,73,461.5%,6,200.0%,7,100.0%,,,,,2,100.0%,,,88,486.7%,
,WFSC,361,-6.7%,10,11.1%,66,0.0%,5,0.0%,6,20.0%,18,5.9%,2,100.0%,468,-4.3%,
,WISC,12,0.0%,,,,,,,,,,,,,12,0.0%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,,,,
