"Spring 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             MARB
MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
3
1
2
2
4
12
35
5
2
42
22
22
95
95
267","Sophomore
1
1
2
4
5
6
3
2
1
5
1
7
3
37
55
6
6
67
35
35
96
96
416","Junior
2
1
3
2
3
5
15
8
1
13
19
6
72
64
6
2
2
74
28
28
11
11
470","Senior
1
4
5
2
4
2
13
7
2
4
9
21
3
67
56
3
3
6
68
45
45
480","PB
1
1
1
1
5","Total
4
6
1
11
4
14
13
36
20
2
8
1
27
1
51
12
189
210
20
13
9
252
130
130
202
202
1,638",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,4,1,5,1,1,18,18,5,
,,,,,,,4,1,5,,,,,5,
,,,,,,,,,,,,,,4,
,,,,,,,,1,1,,,,,7,
,,,,,,,,2,2,,,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,3,3,1,1,,,15,
,,,,,,,,,,3,3,,,7,
,,,,,,,,,,,,,,14,
,,,,,,,,,,1,1,,,14,
,,,,,,,1,1,2,1,1,,,39,
,,,,,,,,1,1,1,1,,,22,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,29,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,3,3,,,55,
,,,,,,,1,1,2,3,3,,,17,
,,,,,,,2,5,7,14,14,,,210,
,,,,,,,,,,2,2,,,212,
,,,,,,,,2,2,8,8,,,30,
,,,,,,,1,2,3,,,,,16,
,,,,,,,,3,3,3,3,,,15,
,,,,,,,1,3,4,1,1,,,5,
,,,,,,,2,10,12,14,14,,,278,
,,,,,,,,1,1,,,,,149,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,4,4,18,18,153,
,,,,,,,,,,,,,,202,
,,,,,,,,,,,,,,202,
,,,,,,,1,,1,,,,,1,
,,,,,,,1,,1,,,,,1,
,,,,,,,10,146,156,76,76,18,18,"1,888",
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,
