Texas A&M University,,,,,,,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,,,,,,,
Headcount by College by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,
Spring 2005,,,,,,,,,,,,,,,,,,
Enrollment Profile – Spring 2005 Official Certified 12th Class Day Data,,,,,,,,,,,,,,,,,,
"Spring 2005
Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Grand Total",International,,Black,,Am. Indian,,Asian,,Hispanic,,White,,Unknown/Other,,Grand Total,,"Total
6,164
1,680
4,527
5,058
7,899
180
719
6,777
2,504
2,430
3,378
113
41,429",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,177,236,64,84,18,24,53,45,220,246,"2,305","2,647",21,24,"2,858","3,306",,
,88,134,8,11,2,7,21,23,47,94,353,878,4,10,523,"1,157",,
,64,103,52,37,5,11,69,74,153,120,"2,046","1,768",12,13,"2,401","2,126",,
,86,32,154,54,12,7,33,31,367,140,"3,229",885,17,11,"3,898","1,160",,
,258,"1,337",72,105,3,22,77,260,144,546,872,"4,151",8,44,"1,434","6,465",,
,6,5,6,1,,1,2,2,9,6,49,92,,1,72,108,,
,36,75,2,2,,3,3,9,24,31,195,332,3,4,263,456,,
,95,120,130,49,25,11,85,62,416,320,"3,183","2,226",25,30,"3,959","2,818",,
,105,229,40,31,5,6,95,81,149,115,917,713,10,8,"1,321","1,183",,
,29,35,32,10,6,6,93,49,191,73,"1,291",598,9,8,"1,651",779,,
,5,9,48,68,10,9,47,73,203,287,"1,155","1,457",3,4,"1,471","1,907",,
,28,44,1,,,,2,2,4,2,18,10,2,,55,58,,
,977,"2,359",609,452,86,107,580,711,"1,927","1,980","15,613","15,757",114,157,"19,906","21,523",,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,,,,,,,
