"Spring 2005
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD
Populations    COFD MARB MARS SABX SRPH
Subtotal
Grand Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
186
40
215
212
66
719
225
394
843
637
789
29
122
699
120
140
985
94
1314
386
6777
1340
476
405
211
72
2504
2278
45
3
5
68
31
2430
3378
3378
11
32
1
3
45
21
113
41429",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,56,90,1,,6,7,1,2,,,6,15,1,1,71,115,,
,18,15,,,4,,2,1,,,,,,,24,16,,
,51,110,1,1,8,17,,2,,2,6,15,,2,66,149,,
,46,99,,1,5,6,,3,,1,13,35,2,1,66,146,,
,24,18,,,1,1,,1,,,11,10,,,36,30,,
,195,332,2,2,24,31,3,9,,3,36,75,3,4,263,456,,
,105,79,,,10,7,2,1,,1,7,9,1,3,125,100,,
,216,75,7,4,46,25,6,3,4,,2,4,1,1,282,112,,
,535,195,11,,50,22,6,5,3,1,8,2,3,2,616,227,,
,96,338,4,8,22,49,9,16,,1,28,61,1,4,160,477,,
,521,142,18,6,39,11,11,2,7,,16,9,5,2,617,172,,
,14,9,,1,3,,1,,,,,,,1,18,11,,
,55,23,1,,20,21,,1,,,1,,,,77,45,,
,214,405,5,3,14,35,4,2,1,1,1,2,3,9,242,457,,
,75,23,4,,7,1,2,,,,5,1,2,,95,25,,
,25,84,2,2,5,10,2,2,,,,5,1,2,35,105,,
,310,484,22,7,46,64,6,18,2,4,6,11,1,4,393,592,,
,56,25,,1,6,6,,,,,,,,,62,32,,
,781,253,40,9,115,49,27,9,6,1,10,7,6,1,985,329,,
,180,91,16,8,33,20,9,3,2,2,11,9,1,1,252,134,,
,"3,183","2,226",130,49,416,320,85,62,25,11,95,120,25,30,"3,959","2,818",,
,587,346,26,20,110,63,72,56,4,3,24,23,3,3,826,514,,
,135,137,8,7,32,21,11,16,1,2,34,66,4,2,225,251,,
,173,125,6,1,7,21,10,4,,,14,40,3,1,213,192,,
,8,93,,2,,9,,5,,1,13,79,,1,21,190,,
,14,12,,1,,1,2,,,,20,21,,1,36,36,,
,917,713,40,31,149,115,95,81,5,6,105,229,10,8,"1,321","1,183",,
,"1,234",575,31,10,186,72,88,46,6,6,6,4,8,6,"1,559",719,,
,20,6,,,1,,2,,,,4,11,1,,28,17,,
,1,2,,,,,,,,,,,,,1,2,,
,1,1,,,,,1,,,,1,1,,,3,2,,
,30,12,,,4,1,1,1,,,8,9,,2,43,25,,
,5,2,1,,,,1,2,,,10,10,,,17,14,,
,"1,291",598,32,10,191,73,93,49,6,6,29,35,9,8,"1,651",779,,
,"1,155","1,457",48,68,203,287,47,73,10,9,5,9,3,4,"1,471","1,907",,
,"1,155","1,457",48,68,203,287,47,73,10,9,5,9,3,4,"1,471","1,907",,
,2,2,,,1,1,,,,,3,2,,,6,5,,
,7,4,,,,1,,1,,,2,17,,,9,23,,
,,,,,,,,,,,1,,,,1,,,
,3,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,22,23,,,22,23,,
,6,4,1,,3,,2,1,,,,2,2,,14,7,,
,18,10,1,,4,2,2,2,,,28,44,2,,55,58,,
,"15,613","15,757",609,452,"1,927","1,980",580,711,86,107,977,"2,359",114,157,"19,906","21,523",,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,,,,,,,
