"Spring 2005
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARB MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
28
7
5
9
49
14
35
67
28
54
3
10
58
5
85
12
98
19
488
217
39
35
16
307
328
328
1,385
1,385
4,624","Sophomore
19
9
19
17
64
17
65
141
41
114
4
12
111
4
11
179
12
192
26
929
202
33
46
13
294
336
336
1,074
1,074
5,988","Junior
28
11
35
31
105
33
97
257
137
191
7
24
171
16
38
228
23
305
101
1,628
242
38
60
16
356
331
331
153
153
7,365","Senior
36
5
77
31
149
41
93
229
204
232
8
24
220
73
36
260
34
389
89
1,932
220
61
82
25
388
356
356
9,143","PB
2
4
6
1
1
3
3
64","Total
113
32
136
92
373
105
290
694
410
591
23
70
560
93
90
752
81
984
235
4,978
884
171
223
70
1,348
1,351
1,351
2,612
2,612
27,184",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,3,26,26,7,7,458,458,146,
,,,,,,,,1,1,,,,,33,
,,,,,,,,15,18,7,7,,,161,
,,,,,,,,42,42,11,11,,,145,
,,,,,,,,29,29,13,13,,,42,
,,,,,,,3,113,116,38,38,,,527,
,,,,,,,4,48,52,27,27,,,184,
,,,,,,,,1,1,,,,,291,
,,,,,,,,11,11,25,25,,,730,
,,,,,,,,14,14,10,10,,,434,
,,,,,,,2,24,26,46,46,,,663,
,,,,,,,,,,,,,,23,
,,,,,,,1,5,6,2,2,,,78,
,,,,,,,1,23,24,35,35,,,619,
,,,,,,,,5,5,,,,,98,
,,,,,,,,15,15,4,4,,,109,
,,,,,,,,3,3,39,39,,,794,
,,,,,,,,,,,,,,81,
,,,,,,,,13,13,37,37,,,"1,034",
,,,,,,,,12,12,24,24,,,271,
,,,,,,,8,174,182,249,249,,,"5,409",
,,,,,,,,16,16,33,33,,,933,
,,,,,,,1,49,50,51,51,,,272,
,,,,,,,3,54,57,18,18,,,298,
,,,,,,,1,14,15,16,16,,,101,
,,,,,,,3,14,17,9,9,,,26,
,,,,,,,8,147,155,127,127,,,"1,630",
,,,,,,,,,,,,,,"1,809",
,,,,,,,1,9,10,16,16,,,26,
,,,,,,,1,2,3,,,,,3,
,,,,,,,,2,2,,,,,2,
,,,,,,,1,16,17,25,25,,,42,
,,,,,,,,5,5,2,2,,,7,
,,,,,,,3,34,37,43,43,458,458,"1,889",
,,,,,,,,,,,,,,"2,612",
,,,,,,,,,,,,,,"2,612",
,,,,,,,4,,4,,,,,4,
,,,,,,,,10,10,1,1,,,11,
,,,,,,,2,1,3,,,,,3,
,,,,,,,10,,10,,,,,10,
,,,,,,,16,11,27,1,1,,,28,
,,,,,,,197,"2,251","2,448","1,280","1,280",458,458,"31,370",
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,,,,
