"Spring 2005
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARB MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
4
4
6","Sophomore
1
1
1
1
3
3
14","Junior
1
1
1
1
1
1
1
1
1
7
1
1
1
1
36","Senior
1
1
2
2
3
3
4
6
1
2
4
1
26
3
1
1
1
6
8
8
105",PB,"Total
1
2
3
2
4
4
4
1
8
2
3
5
2
35
4
1
2
1
8
9
9
7
7
161",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,2,2,1,1,5,5,2,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,3,
,,,,,,,,3,3,1,1,,,7,
,,,,,,,,1,1,3,3,,,4,
,,,,,,,,,,,,,,2,
,,,,,,,,,,1,1,,,5,
,,,,,,,,,,1,1,,,5,
,,,,,,,,2,2,1,1,,,7,
,,,,,,,,,,,,,,1,
,,,,,,,,,,4,4,,,12,
,,,,,,,,,,,,,,2,
,,,,,,,,2,2,1,1,,,3,
,,,,,,,,2,2,,,,,5,
,,,,,,,,,,2,2,,,7,
,,,,,,,,,,,,,,2,
,,,,,,,,7,7,13,13,,,55,
,,,,,,,,2,2,,,,,6,
,,,,,,,,3,3,2,2,,,6,
,,,,,,,,2,2,,,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,8,8,2,2,,,18,
,,,,,,,,,,,,,,14,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,,3,3,5,5,17,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,7,
,,,,,,,,,2,,,,,2,
,,,,,,,2,,2,,,,,2,
,,,,,,,5,61,66,39,39,5,5,271,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,,,,
