Texas A&M University,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,
Residency Status by Tuition Status by College,,,,,,,,,
Spring 2005,,,,,,,,,
Enrollment Profile – Spring 2005 Official Certified 12th Class Day Data,,,,,,,,,
"Spring 2005
Agriculture         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Architecture        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Business              Texas Resident
Admin                 Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Education            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Engineering        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
G. Bush               Texas Resident
School of            Non-TX, US Resident
Subtotal
Geosciences        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Liberal Arts         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Science                Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Veterinary           Texas Resident
Medicine             Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
General               Texas Resident
Studies                Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Other -                 Texas Resident
Special                Non-TX, US Resident
Subtotal
Total                   Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Grand Total",Resident Tuition,,Non-Resident Tuition,,Tuition Exemption/Waiver,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,
,"5,327",-3.2%,9,-18.2%,14,27.3%,"5,350",-3.2%,
,,,121,-1.6%,273,-8.7%,394,-6.6%,
,9,28.6%,91,-18.0%,320,1.9%,420,-2.8%,
,"5,336",-3.2%,221,-9.8%,607,-2.7%,"6,164",-3.4%,
,"1,383",1.3%,1,100.0%,1,-50.0%,"1,385",1.3%,
,,,23,-20.7%,49,4.3%,72,-5.3%,
,2,-33.3%,46,-6.1%,175,-12.1%,223,-11.2%,
,"1,385",1.2%,70,-10.3%,225,-9.3%,"1,680",-0.8%,
,"4,224",-4.8%,1,-50.0%,10,11.1%,"4,235",-4.8%,
,,,36,-32.1%,86,-1.1%,122,-12.9%,
,8,-11.1%,38,-5.0%,124,4.2%,170,1.2%,
,"4,232",-4.8%,75,-21.1%,220,2.3%,"4,527",-4.8%,
,"4,775",5.2%,7,0.0%,5,66.7%,"4,787",5.2%,
,,,63,-26.7%,89,8.5%,152,-9.5%,
,8,60.0%,27,-25.0%,84,15.1%,119,4.4%,
,"4,783",5.3%,97,-24.8%,178,12.7%,"5,058",4.7%,
,"5,802",-5.3%,22,0.0%,22,57.1%,"5,846",-5.2%,
,1,100.0%,137,-14.4%,299,7.9%,437,0.0%,
,47,6.8%,473,-20.2%,"1,096",-4.9%,"1,616",-9.7%,
,"5,850",-5.2%,632,-18.5%,"1,417",-1.8%,"7,899",-5.9%,
,141,36.9%,,,3,200.0%,144,38.5%,
,,,1,-91.7%,22,-15.4%,23,-39.5%,
,0,-100.0%,2,100.0%,11,57.1%,13,44.4%,
,141,35.6%,3,-76.9%,36,5.9%,180,19.2%,
,499,11.4%,0,-100.0%,2,-33.3%,501,10.6%,
,,,25,13.6%,79,-15.1%,104,-9.6%,
,5,25.0%,13,44.4%,96,5.5%,114,9.6%,
,504,11.5%,38,15.2%,177,-5.3%,719,7.0%,
,"6,083",-3.4%,16,0.0%,21,31.3%,"6,120",-3.3%,
,,,150,-10.2%,285,11.3%,435,2.8%,
,11,-8.3%,81,9.5%,130,6.6%,222,6.7%,
,"6,094",-3.4%,247,-3.9%,436,10.7%,"6,777",-2.6%,
,"1,902",7.2%,4,-20.0%,11,37.5%,"1,917",7.2%,
,,,57,-24.0%,188,2.7%,245,-5.0%,
,9,0.0%,51,6.3%,282,-5.4%,342,-3.7%,
,"1,911",7.1%,112,-12.5%,481,-1.6%,"2,504",4.3%,
,"2,262",3.1%,4,33.3%,3,-25.0%,"2,269",3.0%,
,,,27,-27.0%,69,6.2%,96,-5.9%,
,6,100.0%,11,10.0%,48,9.1%,65,14.0%,
,"2,268",3.2%,42,-16.0%,120,6.2%,"2,430",2.9%,
,"3,252",18.3%,9,0.0%,5,66.7%,"3,266",18.3%,
,,,45,-10.0%,51,18.6%,96,3.2%,
,4,-33.3%,10,-23.1%,2,-33.3%,16,-27.3%,
,"3,256",18.2%,64,-11.1%,58,18.4%,"3,378",17.5%,
,35,-28.6%,,,2,100.0%,37,-26.0%,
,,,1,0.0%,3,-66.7%,4,-60.0%,
,1,0.0%,46,-8.0%,25,47.1%,72,5.9%,
,36,-28.0%,47,-7.8%,30,11.1%,113,-11.7%,
,"35,685",0.3%,73,-5.2%,99,32.0%,"35,857",0.3%,
,1,100.0%,686,-15.8%,"1,493",1.8%,"2,180",-4.5%,
,110,5.8%,889,-14.0%,"2,393",-1.9%,"3,392",-5.2%,
,"35,796",0.3%,"1,648",-14.4%,"3,985",0.1%,"41,429",-0.4%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,
