"Spring 2005
Business                  ACCT
Admin                     AGBU BUAD BUAG FINC INFO MGMT MISY MKTG MLER
Subtotal
Education                CPSY EDAD EDCI EDHL EDIS EDKI EDTC EHRD EPSY HEED HLTH INST ISNC KINE PHED SPMT SPSY TECR
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
11
11
1
4
1
1
7","1st Time PB
1
1
2","1st Time Transfer
1
1
11
81
49
27
168","Readmitted
1
4
1
2
2
4
5
19
5
8
8
1
3
8
1
34","Continuing
633
8
1,467
11
563
149
363
565
3,759
210
783
787
125
1,076
262
338
30
18
3,629",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,1,17,1,115,1,2,14,,780,
,,,,,,,,,,,,,,8,
,,,,,,,,,178,,,,,"1,662",
,,,,,,,,,,,,,,12,
,,,,,,,18,,100,,,10,,693,
,,,,,,,,,1,,,10,,162,
,,,,,,,,,35,,,24,,426,
,,,,,,,7,,98,,,,,105,
,,,,,,,4,,24,,,14,,613,
,,,,,,,13,,53,,,,,66,
,,,,,,1,59,,604,1,,72,,"4,527",
,,,,,,,,,4,,,34,,38,
,,,,,,8,4,,106,8,,200,,328,
,,,,,,13,27,,117,5,1,147,,311,
,,,,,,,,,,,,,,227,
,,,,,,,,,,,,,,877,
,,,,,,,,,,,,,,846,
,,,,,,,,1,33,,,,,34,
,,,,,,3,14,1,27,3,1,112,,161,
,,,,,,3,5,,83,,1,87,,179,
,,,,,,1,3,,9,,,20,,33,
,,,,,,,,,,,,,,126,
,,,,,,,,,,,,,,"1,079",
,,,,,,,,,,,,,,298,
,,,,,,1,5,,51,3,,21,,420,
,,,,,,,,,1,,,8,,9,
,,,,,,,,,,,,,,30,
,,,,,,,,,6,,1,37,,44,
,,,,,,,,,,,,,,18,
,,,,,,29,58,3,437,19,6,666,,"5,058",
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,,,,
