Summer 2010,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Liberal Arts      AMST
ANTH BIOL CLSS COMM ECON ENGL FREN GERM HISP HIST INTS MODL MUSC NUTR PHIL POLS PSYC RUSS SOCI SPAN TCMS THAR USLA WGST",,"3
54
1
1
231
182
206
5
1
239
212
11
29
233
394
3
139
38
32
12
1
5","50.0%
20.0%
100.0%
-50.0%
-24.8%
-6.2%
4.6%
0.0%
0.0%
0.4%
17.8%
120.0%
3.6%
-18.5%
-5.3%
200.0%
-6.7%
-2.6%
3.2%
0.0%
100.0%
100.0%","4
9
17
8
4
10
6
1
3
20
20
11","-63.6%
-25.0%
-5.6%
-27.3%
0.0%
11.1%
20.0%
-50.0%
-25.0%
5.3%
-31.0%
-15.4%","9
22
23
36
6
6
0
4
27
51
29","-18.2%
-8.3%
-14.8%
-5.3%
-25.0%
-25.0%
-100.0%
-20.0%
-25.0%
24.4%
-21.6%",,,"3
67
1
1
262
222
250
5
1
10
255
212
6
11
1
36
280
465
3
179
38
32
12
1
5","50.0%
0.0%
100.0%
-50.0%
-23.6%
-7.1%
1.6%
0.0%
0.0%
-16.7%
0.0%
17.8%
20.0%
120.0%
-66.7%
-2.7%
-17.9%
-4.3%
200.0%
-10.1%
-2.6%
3.2%
0.0%
100.0%
100.0%",
,Subtotal,"2,032",-5.0%,113,-17.5%,213,-9.7%,,,"2,358",-6.1%,
Science,APHY,27,42.1%,2,100.0%,6,0.0%,,,8,14.3%,
,APMS,,,,,,,,,27,42.1%,
,BIOL,313,12.2%,15,-6.3%,32,45.5%,,,360,13.6%,
,BIOT,,,1,-66.7%,,,,,1,-66.7%,
,BMCB,31,3.3%,,,,,,,31,3.3%,
,BOTN,,,,,2,-50.0%,,,2,-50.0%,
,CHEM,81,5.2%,105,-11.0%,145,39.4%,,,331,10.7%,
,GENE,,,2,100.0%,4,-42.9%,,,6,-14.3%,
,MATH,39,-32.8%,37,-7.5%,64,12.3%,,,140,-9.7%,
,MBIO,18,-18.2%,5,-28.6%,11,57.1%,,,34,-5.6%,
,MEPS,,,,,3,-25.0%,,,3,-25.0%,
,MSEN,,,,,0,-100.0%,,,0,-100.0%,
,PHYS,31,-27.9%,38,11.8%,78,8.3%,,,147,-1.3%,
,STAT,,,62,-6.1%,49,4.3%,,,111,-1.8%,
,USSC,9,50.0%,,,,,,,9,50.0%,
,ZOOL,21,-22.2%,3,100.0%,15,-11.8%,,,39,-11.4%,
,Subtotal,570,1.6%,270,-5.3%,409,17.5%,,,"1,249",4.6%,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,
