"Summer 2010
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
386
570
292
150
207
42
92
117
91
297
137
95
168
135
169
2,948
148
32
322
87
68
657
536
378
372
209
178
242
1,915
2
508
281
852
704
2,347
265
179
408
9
332
557
489
344
356
628
186
351
4,104
109
109",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,90,183,4,3,17,20,3,5,,1,24,35,,1,138,248,,
,206,238,15,42,22,34,1,3,2,2,2,3,,,248,322,,
,167,76,3,1,18,10,2,,1,,6,8,,,197,95,,
,16,76,2,3,5,14,6,4,1,,7,16,,,37,113,,
,49,58,3,2,12,13,4,6,,1,19,26,10,4,97,110,,
,13,15,3,2,2,3,1,,,,1,2,,,20,22,,
,29,23,1,2,9,7,,,,,5,6,8,2,52,40,,
,24,60,2,,4,16,,2,,,5,4,,,35,82,,
,35,24,,,5,5,1,,2,,9,10,,,52,39,,
,173,35,1,1,39,12,11,1,,,14,10,,,238,59,,
,36,33,6,4,18,15,3,3,,1,7,5,2,4,72,65,,
,28,38,1,1,8,4,,1,1,,8,5,,,46,49,,
,76,57,5,2,11,5,3,2,,,6,1,,,101,67,,
,21,60,,2,4,8,,5,,1,16,18,,,41,94,,
,73,52,5,,17,11,2,,,,8,1,,,105,64,,
,"1,036","1,028",51,65,191,177,37,32,7,6,137,150,20,11,"1,479","1,469",,
,47,45,2,1,7,14,4,4,,,13,10,,1,73,75,,
,6,14,2,,3,6,,,,,,1,,,11,21,,
,21,207,2,2,8,30,2,5,,,13,31,,1,46,276,,
,12,34,,2,5,4,,,,1,14,14,,1,31,56,,
,13,26,,1,3,10,2,1,1,,4,7,,,23,45,,
,99,326,6,6,26,64,8,10,1,1,44,63,,3,184,473,,
,245,194,11,1,25,20,13,16,2,,6,2,,1,302,234,,
,133,148,7,1,32,20,10,6,,,4,15,,2,186,192,,
,107,184,2,2,9,24,6,20,3,1,4,10,,,131,241,,
,47,79,5,3,15,9,2,8,1,,11,29,,,81,128,,
,67,64,9,5,16,4,4,1,,,2,6,,,98,80,,
,144,49,4,2,17,4,6,1,1,1,8,5,,,180,62,,
,743,718,38,14,114,81,41,52,7,2,35,67,,3,978,937,,
,2,,,,,,,,,,,,,,2,,,
,212,118,31,18,56,37,8,9,2,,10,6,1,,320,188,,
,132,18,17,3,57,12,9,1,1,1,21,7,1,1,238,43,,
,428,235,24,23,61,30,15,8,4,,9,14,1,,542,310,,
,491,56,47,7,54,14,7,1,4,1,13,7,,2,616,88,,
,"1,265",427,119,51,228,93,39,19,11,2,53,34,3,3,"1,718",629,,
,25,155,2,2,9,23,1,7,,,6,33,,2,43,222,,
,34,65,2,1,12,9,5,15,1,,9,20,1,5,64,115,,
,55,137,2,6,13,19,10,18,1,3,50,91,2,1,133,275,,
,,6,1,1,,,,,,,,1,,,1,8,,
,11,117,4,8,5,26,4,17,,3,22,111,1,3,47,285,,
,59,239,,7,21,50,6,12,2,2,31,121,3,4,122,435,,
,12,117,2,15,6,34,3,40,,1,34,218,,7,57,432,,
,32,221,5,12,8,41,3,12,,1,2,7,,,50,294,,
,35,134,3,11,13,44,4,11,,1,25,73,,2,80,276,,
,46,290,2,12,10,51,3,23,,,43,148,,,104,524,,
,26,96,1,2,4,11,1,10,,,3,29,1,2,36,150,,
,13,82,1,9,5,21,3,21,,1,40,151,,4,62,289,,
,348,"1,659",25,86,106,329,43,186,4,12,265,"1,003",8,30,799,"3,305",,
,29,31,1,4,10,21,3,2,1,,1,2,1,3,46,63,,
,29,31,1,4,10,21,3,2,1,,1,2,1,3,46,63,,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,,,,
