Summer 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
"Other - Special        CHEN
Populations             CLMD ECEN MARB MARE MASE MEEN PETE SABX SRPH",,,1,,,,1,1,,1,,,,,"1
1",
University,Subtotal,,1,,,,1,1,,1,,,,,2,
,Total,30,77,180,311,7,605,8,92,100,64,64,5,5,774,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
