Top 10,,,,,,,,
Summer 2010 Feeder Patterns New Graduate,,,,,,,,
Texas County   Students  % Total,,,,,,,,
Harris,,62,,,11.8%,,,
Brazos,,31,,,5.9%,,,
Dallas,,25,,,4.8%,,,
Bexar,,21,,,4.0%,,,
Tarrant,,21,,,4.0%,,,
Collin,,18,,,3.4%,,,
Travis,,16,,,3.0%,,,
Montgomery,,15,,,2.9%,,,
Fort Bend,,14,,,2.7%,,,
Denton,,13,,,2.5%,,,
State,Students  % Total,,,,,,,
Texas,367,,,69.9%,,,,
Missouri,6,,,1.1%,,,,
Florida,5,,,1.0%,,,,
Louisiana,4,,,0.8%,,,,
New Mexico,4,,,0.8%,,,,
Georgia,3,,,0.6%,,,,
Michigan,3,,,0.6%,,,,
Maryland,2,,,0.4%,,,,
Illinois,2,,,0.4%,,,,
Alabama,2,,,0.4%,,,,
Country,,,Students  % Total,,,,,
United States,,,411,,,78.3%,,
"China, People's Rep of",,,32,,,6.1%,,
India,,,24,,,4.6%,,
Iran,,,8,,,1.5%,,
"Korea, Republic of",,,8,,,1.5%,,
Taiwan,,,7,,,1.3%,,
Turkey,,,4,,,0.8%,,
Colombia,,,3,,,0.6%,,
Mexico,,,3,,,0.6%,,
Guatemala,,,2,,,0.4%,,
