"Summer 2010
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
3","Sophomore
1
1
2
1
1","Junior
1
1
1
1
2
1
1
1
1
1
1
2","Senior
2
1
1
2
1
1
8
3
2
5
2
2
1
5
1
1
2
1
1
6",PB,"Total
1
4
1
1
2
1
1
11
1
1
2
4
2
6
2
3
1
6
1
3
1
3
1
1
1
1
12",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,,1,1,2,2,,,1,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,,,,,13,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,2,2,,,,,2,
,,,,,,,,,,,,,,4,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,3,3,,,,,9,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,4,
,,,,,,,,2,2,2,2,,,5,
,,,,,,,,3,3,4,4,,,13,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,4,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,1,1,,,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,3,3,1,1,,,16,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,
