Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Pakistan,6,17,8,,31,
Panama,3,5,6,,14,
Peru,,9,3,,12,
Philippines,2,3,7,,12,
Poland,1,2,2,,5,
Qatar,4,3,,,7,
Romania,1,1,1,,3,
Russia,2,2,5,,9,
Rwanda,,,1,,1,
Saudi Arabia,17,19,10,,46,
Serbia,,2,1,,3,
Singapore,4,,4,,8,
Slovakia,,,1,,1,
South Africa,1,2,1,,4,
Spain,1,3,,,4,
Sri Lanka (Ceylon),1,5,2,,8,
Sweden,,,1,,1,
Syria,1,,1,,2,
Taiwan,2,27,91,,120,
Tanzania,1,,1,,2,
Thailand,,9,13,,22,
Trinidad & Tobago,2,4,1,,7,
Tunisia,,,3,,3,
Turkey,,21,41,,62,
Uganda,,1,1,,2,
Ukraine,,2,2,,4,
United Arab Emirates,9,3,1,,13,
United Kingdom,2,1,6,,9,
United States,"11,799","2,016","1,354",133,"15,302",
Uzbekistan,,,1,,1,
Venezuela,8,6,2,,16,
Viet Nam Socialist Republic,3,8,12,,23,
Zimbabwe (Rhodesia),,2,1,,3,
