Summer 2010,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,12,9.1%,0,-100.0%,1,0.0%,1,0.0%,1,100.0%,0,-100.0%,1,100.0%,13,8.3%,
,AGBL,25,-50.0%,,,6,100.0%,,,,,,,,,33,-40.0%,
,AGBU,71,4.4%,,,8,-33.3%,4,100.0%,,,13,18.2%,0,-100.0%,96,3.2%,
,AGCJ,65,12.1%,2,-33.3%,7,-12.5%,3,200.0%,,,,,,,78,11.4%,
,AGEC,177,1.7%,7,40.0%,23,35.3%,3,100.0%,1,0.0%,46,-9.8%,0,-100.0%,257,3.2%,
,AGED,0,-100.0%,0,-100.0%,0,-100.0%,0,-100.0%,,,0,-100.0%,,,0,-100.0%,
,AGEN,0,-100.0%,,,0,-100.0%,0,-100.0%,,,,,,,0,-100.0%,
,AGLS,21,-44.7%,5,-37.5%,5,-50.0%,1,-66.7%,,,2,100.0%,,,34,-43.3%,
,AGRO,50,19.0%,1,0.0%,6,50.0%,3,0.0%,1,0.0%,5,0.0%,0,-100.0%,66,15.8%,
,AGSC,43,-12.2%,0,-100.0%,4,300.0%,,,1,100.0%,,,,,48,-5.9%,
,AGSM,49,28.9%,1,0.0%,6,200.0%,2,-33.3%,,,,,,,58,31.8%,
,ALEC,56,330.8%,7,100.0%,9,800.0%,1,100.0%,,,3,50.0%,,,76,375.0%,
,ALED,201,-20.6%,41,28.1%,25,-34.2%,0,-100.0%,1,-75.0%,2,-33.3%,,,270,-19.2%,
,ANBR,7,75.0%,,,,,,,,,1,100.0%,,,8,100.0%,
,ANSC,221,-0.9%,3,-50.0%,26,-7.1%,2,-33.3%,1,-66.7%,3,-40.0%,0,-100.0%,256,-5.2%,
,BAEN,42,-14.3%,4,100.0%,12,50.0%,8,166.7%,1,0.0%,22,-12.0%,,,89,1.1%,
,BESC,61,7.0%,9,50.0%,26,4.0%,6,-33.3%,1,100.0%,1,100.0%,5,25.0%,109,7.9%,
,BICH,73,-5.2%,5,25.0%,16,23.1%,8,14.3%,1,100.0%,37,19.4%,12,500.0%,152,13.4%,
,BIOT,2,0.0%,,,0,-100.0%,1,100.0%,,,8,-50.0%,,,11,-42.1%,
,CDEV,8,33.3%,1,100.0%,,,,,,,,,0,-100.0%,9,28.6%,
,DASC,1,-75.0%,,,0,-100.0%,,,,,,,,,1,-80.0%,
,ECOR,4,-20.0%,,,2,100.0%,,,,,,,,,6,0.0%,
,ENST,0,-100.0%,,,0,-100.0%,,,,,,,,,0,-100.0%,
,ENTO,43,2.4%,2,0.0%,12,-25.0%,0,-100.0%,0,-100.0%,11,22.2%,10,25.0%,78,-1.3%,
,FISC,1,100.0%,,,,,,,,,,,,,1,100.0%,
,FIVL,3,-40.0%,1,0.0%,3,200.0%,,,,,,,,,7,0.0%,
,FIVS,5,400.0%,,,1,100.0%,,,,,,,,,6,500.0%,
,FLOR,3,200.0%,,,,,,,,,,,,,3,200.0%,
,FORS,10,11.1%,1,0.0%,2,100.0%,1,100.0%,,,5,0.0%,,,19,18.8%,
,FSTC,41,-10.9%,,,10,-9.1%,3,100.0%,,,17,21.4%,,,71,0.0%,
,GENE,40,14.3%,,,9,80.0%,3,50.0%,,,9,0.0%,2,100.0%,63,21.2%,
,HORT,54,-3.6%,,,10,66.7%,1,-66.7%,2,100.0%,14,-6.7%,,,81,0.0%,
,MEPS,6,-25.0%,1,100.0%,1,-50.0%,,,,,10,-9.1%,,,18,-14.3%,
,NRDV,13,30.0%,,,1,0.0%,,,,,,,,,14,27.3%,
,NUSC,145,-8.8%,1,-83.3%,38,-5.0%,8,0.0%,0,-100.0%,2,100.0%,0,-100.0%,194,-10.6%,
,NUTR,28,27.3%,1,0.0%,4,100.0%,,,,,11,10.0%,,,44,25.7%,
,PLBR,17,13.3%,0,-100.0%,3,50.0%,0,-100.0%,,,18,63.6%,,,38,22.6%,
,PLPA,6,0.0%,1,100.0%,7,75.0%,,,,,11,-21.4%,1,-50.0%,26,0.0%,
,POSC,62,55.0%,2,0.0%,12,9.1%,,,1,0.0%,7,-22.2%,0,-100.0%,84,31.3%,
,PPRO,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,PREP,8,-38.5%,1,-50.0%,2,100.0%,,,,,4,100.0%,,,15,-11.8%,
,PSSC,2,100.0%,,,0,-100.0%,,,,,,,,,2,100.0%,
,RENR,16,-11.1%,,,4,100.0%,0,-100.0%,,,,,,,20,-4.8%,
,RLEM,30,-30.2%,1,0.0%,10,-16.7%,,,,,2,100.0%,,,43,-24.6%,
,RPTS,124,-6.8%,6,0.0%,16,100.0%,5,66.7%,,,7,-30.0%,0,-100.0%,158,-1.9%,
,RRDV,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,SOSC,10,-16.7%,,,1,-50.0%,2,100.0%,,,5,-37.5%,,,18,-21.7%,
,SPSA,12,20.0%,,,1,100.0%,1,100.0%,,,,,,,14,40.0%,
,TOXI,,,,,,,,,,,1,0.0%,,,1,0.0%,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,,,,
