Summer 2010,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering      AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN MSEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG USEN",,"26
124
47
75
26
47
9
23
32
218
52
36
38
231
50
130
98
44
45
157
50
191
43
318
12
72
16
42
48
72
5
22
3","-21.2%
0.0%
51.6%
4.2%
8.3%
0.0%
-43.8%
21.1%
-58.4%
36.3%
13.0%
-18.2%
46.2%
-6.5%
-7.4%
-3.0%
96.0%
-38.0%
21.6%
10.6%
35.1%
15.1%
-23.2%
16.1%
-72.7%
125.0%
60.0%
-50.0%
-35.1%
67.4%
-44.4%
266.7%
200.0%","54
28
27
34
32
63
108
99
0
12
6
60
147
21
38
21
164
6","-14.3%
-3.4%
68.8%
13.3%
3.2%
5.0%
-13.6%
-5.7%
-100.0%
200.0%
-14.3%
-18.9%
-14.5%
50.0%
31.0%
5.0%
20.6%
100.0%","56
29
22
18
73
59
91
126
4
43
2
115
36
31
10
67","14.3%
3.6%
46.7%
20.0%
7.4%
-7.8%
15.2%
22.3%
300.0%
16.2%
-33.3%
16.2%
0.0%
40.9%
-23.1%
21.8%",,,"26
234
47
132
26
96
9
75
32
323
174
36
38
430
50
355
4
12
98
44
6
45
157
50
294
2
43
580
57
12
141
16
73
279
72
5
22
6
3","-21.2%
-0.8%
51.6%
2.3%
8.3%
23.1%
-43.8%
17.2%
-58.4%
24.7%
2.4%
-18.2%
46.2%
-4.7%
-7.4%
3.8%
100.0%
200.0%
96.0%
-38.0%
-14.3%
21.6%
10.6%
35.1%
6.1%
-33.3%
-23.2%
6.4%
14.0%
-72.7%
69.9%
60.0%
-37.6%
5.3%
67.4%
-44.4%
266.7%
100.0%
200.0%",
,Subtotal,"2,402",4.9%,920,0.1%,782,13.8%,,,"4,104",5.3%,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
