Summer 2010,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,33,-40.0%,13,8.3%,44,-20.0%,,,13,8.3%,
,AGBL,,,,,,,,,33,-40.0%,
,AGBU,73,9.0%,23,-11.5%,,,,,96,3.2%,
,AGCJ,78,11.4%,,,,,,,78,11.4%,
,AGEC,177,6.6%,36,28.6%,,,,,257,3.2%,
,AGED,,,0,-100.0%,0,-100.0%,,,0,-100.0%,
,AGEN,0,-100.0%,,,,,,,0,-100.0%,
,AGLS,34,-43.3%,,,,,,,34,-43.3%,
,AGRO,45,36.4%,8,-38.5%,13,18.2%,,,66,15.8%,
,AGSC,48,-5.9%,,,,,,,48,-5.9%,
,AGSM,57,35.7%,1,-50.0%,,,,,58,31.8%,
,ALEC,,,43,258.3%,33,725.0%,,,76,375.0%,
,ALED,270,-19.2%,,,,,,,270,-19.2%,
,ANBR,,,5,66.7%,3,200.0%,,,8,100.0%,
,ANSC,203,-8.1%,41,2.5%,12,33.3%,,,256,-5.2%,
,BAEN,42,-8.7%,30,0.0%,17,41.7%,,,89,1.1%,
,BESC,109,7.9%,,,,,,,109,7.9%,
,BICH,60,20.0%,29,38.1%,63,0.0%,,,152,13.4%,
,BIOT,,,11,-42.1%,,,,,11,-42.1%,
,CDEV,9,28.6%,,,,,,,9,28.6%,
,DASC,1,-80.0%,,,,,,,1,-80.0%,
,ECOR,6,0.0%,,,,,,,6,0.0%,
,ENST,0,-100.0%,,,,,,,0,-100.0%,
,ENTO,37,-5.1%,16,-5.9%,25,8.7%,,,78,-1.3%,
,FISC,,,1,100.0%,,,,,1,100.0%,
,FIVL,7,0.0%,,,,,,,7,0.0%,
,FIVS,6,500.0%,,,,,,,6,500.0%,
,FLOR,2,100.0%,1,0.0%,,,,,3,200.0%,
,FORS,8,100.0%,6,0.0%,5,-16.7%,,,19,18.8%,
,FSTC,42,5.0%,15,-34.8%,14,75.0%,,,71,0.0%,
,GENE,30,25.0%,8,-11.1%,25,31.6%,,,63,21.2%,
,HORT,54,-1.8%,14,16.7%,13,-7.1%,,,81,0.0%,
,MEPS,,,3,-62.5%,15,15.4%,,,18,-14.3%,
,NRDV,,,14,27.3%,,,,,14,27.3%,
,NUSC,194,-10.6%,,,,,,,194,-10.6%,
,NUTR,,,28,40.0%,16,6.7%,,,44,25.7%,
,PLBR,,,19,5.6%,19,46.2%,,,38,22.6%,
,PLPA,,,11,-21.4%,15,25.0%,,,26,0.0%,
,POSC,65,47.7%,12,20.0%,7,-30.0%,,,84,31.3%,
,PPRO,,,0,-100.0%,,,,,0,-100.0%,
,PREP,,,10,11.1%,5,-37.5%,,,15,-11.8%,
,PSSC,2,100.0%,,,,,,,2,100.0%,
,RENR,20,-4.8%,,,,,,,20,-4.8%,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,
