Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Afghanistan,1,,,,1,
Angola,10,,,,10,
Argentina,,2,,,2,
Armenia,,2,1,,3,
Australia,3,1,,,4,
Austria,,,1,,1,
Azerbaijan,,1,,,1,
"Bahamas, The",1,,1,,2,
Bahrain,2,1,1,,4,
Bangladesh,,5,6,,11,
Barbados,,,1,,1,
Belarus,2,,1,,3,
Belgium,,,1,,1,
Belize (British Honduras),1,1,,,2,
Bhutan,,1,,,1,
Bolivia,2,,1,,3,
Botswana,,,1,,1,
Brazil,3,6,16,,25,
Bulgaria,,1,1,,2,
Cambodia (Kampuchea),,,1,,1,
Cameroon,2,1,4,,7,
Canada,9,9,10,,28,
Chile,,2,6,,8,
"China, People's Rep of",16,223,333,,572,
Colombia,,16,27,,43,
Costa Rica,2,1,,,3,
Cote d'Ivoire (Ivory Coast),,1,,,1,
Croatia,1,,,,1,
Cyprus,,1,,,1,
Dominica,,,1,,1,
Dominican Republic,,,1,,1,
Ecuador,2,1,5,,8,
Egypt (A.R.E.),,5,15,,20,
El Salvador,2,1,2,,5,
Equatorial Guinea,5,,,,5,
Ethiopia,1,1,3,,5,
France,,5,2,,7,
