Top 10,,,,,,,,,
Summer 2010 Feeder Patterns Texas A&M University Campus,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,15302,,,,86.1%,,
India,,,576,,,,3.2%,,
"China, People's Rep of",,,572,,,,3.2%,,
"Korea, Republic of",,,244,,,,1.4%,,
Taiwan,,,120,,,,0.7%,,
Iran,,,78,,,,0.4%,,
Mexico,,,73,,,,0.4%,,
Turkey,,,62,,,,0.3%,,
Saudi Arabia,,,46,,,,0.3%,,
Colombia,,,43,,,,0.2%,,
Texas County   Students  % Total,,,,,,,,,
Harris,,2657,,,14.9%,,,,
Brazos,,1256,,,7.1%,,,,
Bexar,,774,,,4.4%,,,,
Dallas,,746,,,4.2%,,,,
Tarrant,,738,,,4.2%,,,,
Fort Bend,,689,,,3.9%,,,,
Montgomery,,476,,,2.7%,,,,
Travis,,466,,,2.6%,,,,
Collin,,434,,,2.4%,,,,
Denton,,301,,,1.7%,,,,
State,Students  % Total,,,,,,,,
Texas,14068,,,79.1%,,,,,
California,137,,,0.8%,,,,,
Louisiana,88,,,0.5%,,,,,
Florida,66,,,0.4%,,,,,
Oklahoma,58,,,0.3%,,,,,
Illinois,54,,,0.3%,,,,,
Pennsylvania,49,,,0.3%,,,,,
New York,49,,,0.3%,,,,,
Missouri,44,,,0.2%,,,,,
Virginia,43,,,0.2%,,,,,
