Summer 2010,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
G. Bush,CAIA,,,39,-20.4%,,,,,39,-20.4%,
"School of
Govt",CHLS CNPM,,,"19
18","35.7%
20.0%",,,,,"19
18","35.7%
20.0%",
,CNSA,,,9,100.0%,,,,,9,100.0%,
,INTA,,,5,-68.8%,,,,,5,-68.8%,
,PSAA,,,19,18.8%,,,,,19,18.8%,
,Subtotal,,,109,-0.9%,,,,,109,-0.9%,
Geosciences,ATMO,30,20.0%,22,22.2%,16,-33.3%,,,38,-9.5%,
,ENGS,,,,,,,,,30,20.0%,
,ENST,29,61.1%,,,,,,,29,61.1%,
,GEOG,46,12.2%,8,60.0%,11,0.0%,,,65,14.0%,
,GEOL,81,28.6%,12,-42.9%,15,-11.8%,,,108,6.9%,
,GEOP,14,-12.5%,7,75.0%,8,14.3%,,,29,7.4%,
,GEOS,,,2,100.0%,,,,,2,100.0%,
,MARB,,,1,100.0%,,,,,1,100.0%,
,METR,24,-17.2%,,,,,,,24,-17.2%,
,OCNG,,,25,-7.4%,37,42.3%,,,62,17.0%,
,SPSG,1,-50.0%,,,,,,,1,-50.0%,
,USGE,1,-50.0%,,,,,,,1,-50.0%,
,WMHS,,,10,-16.7%,4,-20.0%,,,14,-17.6%,
,Subtotal,226,15.3%,87,0.0%,91,1.1%,,,404,8.3%,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,
