Summer 2010,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Other -               CHEN
Special               ELEN
Populations       MARA
MARB MARR MASE MDSC MEEN PETE PHLT REEP",,"0
2
1
2
2
4","-100.0%
100.0%
100.0%
100.0%
0.0%
100.0%",,,2,100.0%,"1
1","100.0%
100.0%",,,"1
1
4
1
2","100.0%
100.0%
100.0%
0.0%
100.0%","1
0","100.0%
-100.0%","1
1
0
2
1
3
3
4
1
7
2","100.0%
100.0%
-100.0%
100.0%
100.0%
100.0%
50.0%
100.0%
100.0%
250.0%
100.0%",
,Subtotal,11,175.0%,,,2,100.0%,2,100.0%,,,9,800.0%,1,0.0%,25,316.7%,
Total,,"11,321",-4.5%,720,0.4%,"2,308",14.4%,774,11.7%,89,-3.3%,"2,424",2.8%,141,-16.1%,"17,777",-0.7%,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
