"Summer 2010
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,Masters,,,,PhD,,Professional,Total,
,"1st Time in College
1
1
2
6
6
3
1
4
1
3
2
3
4
2
4
2
1
1
23","1st Time Transfer
22
15
2
1
2
3
1
1
1
7
8
3
2
68
5
10
3
18
1
16
17
2
1
5
8
2
2
4
5
4
4
1
2
24","Readmit ted
1
17
2
3
2
4
2
1
5
37
1
4
3
8
2
3
1
1
7
4
4
2
10
2
1
3
4
3
13","Continuing
260
449
199
96
87
32
50
63
55
234
108
53
137
44
99
1,966
75
32
252
29
30
418
418
324
248
128
147
186
1,451
2
234
79
730
360
1,405
147
119
245
3
158
318
206
335
230
355
109
117
2,342",1st Time PB,1st Time Graduate,Readmit ted,Continuing,1st Time Graduate,Contin uing,Continuing,,
,,,,,1,4,1,55,1,43,,386,
,,,,,,13,,42,3,30,,570,
,,,,,1,,,58,2,27,,292,
,,,,,,4,,30,4,13,,150,
,,,,,,,,36,5,76,,207,
,,,,,,1,,2,,,,42,
,,,,,1,1,,14,2,24,,92,
,,,,,,6,,18,1,24,,117,
,,,,,,,,18,,17,,91,
,,,,,1,1,,36,2,21,,297,
,,,,,,,,10,,17,,137,
,,,,,,1,,21,,8,,95,
,,,,,,2,,10,,11,,168,
,,,,,,2,,35,4,47,,135,
,,,,,,1,,33,1,33,,169,
,,,,,4,36,1,418,25,391,,"2,948",
,,,,,,7,,43,1,16,,148,
,,,,,,,,,,,,32,
,,,,,1,21,,34,,,,322,
,,,,,,,,48,,10,,87,
,,,,,,,,32,,,,68,
,,,,,1,28,,157,1,26,,657,
,,,,,,66,,31,4,14,,536,
,,,,,,,,29,,,,378,
,,,,,,52,,57,,15,,372,
,,,,,,23,,54,,4,,209,
,,,,,,5,,10,,15,,178,
,,,,,,15,,29,,11,,242,
,,,,,,161,,210,4,59,,"1,915",
,,,,,,,,,,,,2,
,,,,,3,16,,77,4,168,,508,
,,,,,,10,,67,1,124,,281,
,,,,,,8,,53,4,49,,852,
,,,,,5,45,1,134,10,141,,704,
,,,,,8,79,1,331,19,482,,"2,347",
,,,,,,2,,53,8,52,,265,
,,,,,,,,28,1,28,,179,
,,,,,,2,,55,5,96,,408,
,,,,,,,,,,6,,9,
,,,,,,1,,89,3,78,,332,
,,,,,,3,,126,8,93,,557,
,,,,,,2,,131,9,135,,489,
,,,,,,,,,,,,344,
,,,,,,2,,70,4,39,,356,
,,,,,,2,1,145,9,110,,628,
,,,,,,4,,40,3,28,,186,
,,,,,,8,,156,2,65,,351,
,,,,,,26,1,893,52,730,,"4,104",
,,,,,41,2,1,65,,,,109,
,,,,,41,2,1,65,,,,109,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,
