Summer 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
"Other - Special        CHEN
Populations             CLMD ECEN MARB MARE MASE MEEN PETE SABX SRPH",,,1,"2
1","1
1
1
1",,"1
1
4
2",1,,1,,,,,"1
1
4
2
1",
University,Subtotal,,1,3,4,,8,1,,1,,,,,9,
,Total,16,32,65,132,2,247,4,974,978,"1,199","1,199",,,"2,424",
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
