Summer 2010,,Undergraduate,,,,Masters,,,,PhD,,Professiona l,Total,
,,1st Time in College,1st Time Transfer,Readmitte d,Continuing,1st Time PB,1st Time Graduate,Readmitte d,Continuing,1st Time Graduate,Continuing,Continuing,,
Architecture,ARCH,6,10,4,193,1,7,1,43,1,16,,67,
,COMG,,,,,,21,,34,,,,56,
,COSC,,,,,,,,,,,,193,
,COSL,,,,59,,,,,,,,73,
,ENDL,,5,1,24,,,,,,,,30,
,ENDS,,,,51,,,,,,,,51,
,LAND,,,,9,,,,13,,,,22,
,LANL,,,,7,,,,,,,,7,
,LDEV,,,,,,,,26,,,,26,
,URPL,,,,,,,,9,,,,9,
,URSC,,,,13,,,,,,10,,23,
,USAR,,,,32,,,,,,,,32,
,VISL,,3,2,19,,,,,,,,24,
,VIST,,,1,11,,,,32,,,,44,
,Subtotal,,18,8,418,1,28,,157,1,26,,657,
Business,ACCT,,1,2,418,,66,,31,4,14,,536,
Admin,BHNR,,,,44,,,,,,,,44,
,BUAD,,16,1,203,,,,28,,,,254,
,BUAG,,,1,2,,,,,,,,3,
,EMBA,,,,,,,,1,,,,1,
,FINC,,,,248,,51,,21,,15,,335,
,INFO,,,,128,,,,,,4,,132,
,MGMT,,,1,147,,5,,10,,15,,178,
,MISY,,,,,,23,,54,,,,77,
,MKTG,,,1,186,,15,,29,,11,,242,
,MLER,,,,,,1,,36,,,,37,
,USBU,,,1,75,,,,,,,,76,
,Subtotal,6,17,7,"1,451",,161,,210,4,59,,"1,915",
Education,BIED,,,,,,1,,7,,,,8,
,CPSY,,,,,,,,5,,32,,37,
,EDAD,,,,,2,1,,31,3,117,,154,
,EDCI,,,,,5,45,,134,10,141,,336,
,EDHL,,,1,152,,,,,,,,153,
,EDIS,1,5,2,112,,,,,,,,120,
,EDKI,1,1,,137,,,,,,,,139,
,EDSM,2,,,58,,,,,,,,60,
,EDTC,,,,,,,,17,,,,17,
,EHRD,,,,,1,15,,46,1,51,,114,
,EPSY,,,,,,5,,29,1,51,,86,
,HEED,,,,,,2,,14,1,11,,28,
,HLTH,,,,143,,,,,,,,143,
,HRDL,,2,2,75,,,,,,,,79,
,HRDV,,,1,104,,,,,,,,105,
,INST,,,,327,,,,,,,,327,
,KINE,,,2,118,,3,,30,3,37,,193,
,NUTR,,,,,,,,,,1,,1,
,SPED,,,,,,4,,4,,,,8,
,SPMT,,,1,122,,3,,9,,,,135,
,SPSY,,,,,,,,5,,41,,46,
,TCMG,,,,29,,,,,,,,29,
,TCML,,,1,26,,,,,,,,27,
,USEH,,,,2,,,,,,,,2,
,Subtotal,4,8,10,"1,405",8,79,1,331,19,482,,"2,347",
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,
Page 84,,,,,,,,,,,,,,
