Summer 2010,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,15,18,2,1,1,4,2,2,1,1,13,10,1,1,33,34,67,
,COMG,,5,,,2,4,,3,,,12,29,,,14,42,56,
,COSC,19,147,,,3,17,2,2,,,1,1,,,25,168,193,
,COSL,2,55,2,1,3,9,,,,,,1,,,7,66,73,
,ENDL,14,8,,1,3,1,2,1,,,,,,,19,11,30,
,ENDS,18,19,,,3,9,,1,,,,,,1,21,30,51,
,LAND,3,10,,,1,,,,,,6,2,,,10,12,22,
,LANL,1,5,,,1,,,,,,,,,,2,5,7,
,LDEV,3,11,,,,3,,,,,2,6,,1,5,21,26,
,URPL,3,1,,1,,1,,,,,2,1,,,5,4,9,
,URSC,2,7,,1,3,,,,,,4,5,,,9,14,23,
,USAR,6,14,2,,3,6,,,,,,1,,,11,21,32,
,VISL,5,10,,1,1,6,,,,,,,,,7,17,24,
,VIST,8,16,,,2,4,2,1,,,4,7,,,16,28,44,
,Subtotal,99,326,6,6,26,64,8,10,1,1,44,63,,3,184,473,657,
Business,ACCT,245,194,11,1,25,20,13,16,2,,6,2,,1,302,234,536,
Admin,BHNR,21,17,,,1,2,2,1,,,,,,,24,20,44,
,BUAD,84,91,6,1,26,17,7,4,,,4,13,,1,127,127,254,
,BUAG,1,1,,,1,,,,,,,,,,2,1,3,
,EMBA,,,,,,,,,,,,,,1,,1,1,
,FINC,96,162,2,2,8,23,6,20,3,1,4,8,,,119,216,335,
,INFO,36,58,4,3,13,6,1,7,,,,4,,,54,78,132,
,MGMT,67,64,9,5,16,4,4,1,,,2,6,,,98,80,178,
,MISY,11,21,1,,2,3,1,1,1,,11,25,,,27,50,77,
,MKTG,144,49,4,2,17,4,6,1,1,1,8,5,,,180,62,242,
,MLER,11,22,,,1,1,,,,,,2,,,12,25,37,
,USBU,27,39,1,,4,1,1,1,,,,2,,,33,43,76,
,Subtotal,743,718,38,14,114,81,41,52,7,2,35,67,,3,978,937,1915,
Education,BIED,1,,,,3,1,,,,,3,,,,7,1,8,
,CPSY,14,4,5,2,5,2,3,1,,,,,,,28,9,37,
,EDAD,57,31,17,8,24,14,1,,2,,,,,,101,53,154,
,EDCI,175,42,39,7,32,13,3,,3,1,12,7,,2,264,72,336,
,EDHL,106,14,9,,15,1,5,1,1,,,,1,,137,16,153,
,EDIS,90,6,5,,14,1,2,,,1,1,,,,112,8,120,
,EDKI,67,48,3,1,9,6,4,1,,,,,,,83,56,139,
,EDSM,17,22,2,10,4,5,,,,,,,,,23,37,60,
,EDTC,7,3,1,,,2,1,,,,1,2,,,10,7,17,
,EHRD,46,19,11,3,11,4,3,2,,,10,4,1,,82,32,114,
,EPSY,38,5,5,,14,2,2,,,,14,5,,1,73,13,86,
,HEED,12,1,4,,1,2,4,,1,,1,2,,,23,5,28,
,HLTH,104,9,4,1,18,1,2,1,2,,1,,,,131,12,143,
,HRDL,44,15,1,5,7,2,1,2,,,,2,,,53,26,79,
,HRDV,62,18,2,2,11,8,1,1,,,,,,,76,29,105,
,INST,272,9,4,1,32,2,3,1,2,,1,,,,314,13,327,
,KINE,86,62,2,4,9,9,,3,,,7,11,,,104,89,193,
,NUTR,1,,,,,,,,,,,,,,1,,1,
,SPED,6,,,,2,,,,,,,,,,8,,8,
,SPMT,35,79,,7,5,6,,2,,,,1,,,40,95,135,
,SPSY,20,5,5,,9,3,2,,,,2,,,,38,8,46,
,TCMG,3,17,,,,5,1,3,,,,,,,4,25,29,
,TCML,,18,,,3,4,1,1,,,,,,,4,23,27,
,USEH,2,,,,,,,,,,,,,,2,,2,
,Subtotal,"1,265",427,119,51,228,93,39,19,11,2,53,34,3,3,"1,718",629,2347,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,,,,,
