Summer 2010,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
"Engineering        AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN MSEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG USEN",,"3
22
6
28
2
3
1
6
48
3
3
5
46
1
10
1
4
1
4
24
7
27
3
43
1
2
12
1
7
6
7
2
9","18
136
19
46
12
29
6
12
9
120
60
16
17
183
19
80
3
5
63
30
2
31
97
25
104
1
31
257
11
6
82
13
26
47
35
1
5
2","2
2
1
1
2
1
1
1
1
4
1
2
1
2
1
1
1","2
1
4
1
1
5
1
3
1
4
3
11
1
3
2
1
6
3
7
2
10
2
2
9
1","1
8
3
9
1
1
1
1
3
8
2
1
2
15
2
2
4
2
2
2
11
2
8
2
1
2
2
2
4
1
1","3
20
4
5
7
8
2
6
12
8
3
5
35
11
21
1
11
8
6
16
10
33
2
49
1
7
10
16
5
1
3","1
1
4
1
10
3
5
1
2
1
2
4
3
1
3
1","1
6
4
11
2
6
1
6
3
15
5
4
9
2
31
1
5
3
2
1
3
10
3
20
5
3
16
5
3","1
1
1
1","1
3
2
1
1
1
1
1
1","5
9
6
1
34
16
30
33
2
25
42
14
3
1
34
6
4","30
1
19
1
37
1
51
67
72
1
101
5
161
1
3
4
1
1
2
1
69
146
27
2
26
20
142
9
2","1
1
1
1
3
1","2
5
1
3
4
5
2
1
1
1
1
4","4
38
14
50
4
11
1
3
12
101
26
6
10
97
5
48
1
12
1
6
32
10
69
1
5
98
18
3
18
3
12
45
17
3
11
4","22
196
33
82
22
85
8
72
20
222
148
30
28
333
45
307
4
11
86
44
5
39
125
40
225
1
38
482
39
9
123
13
61
234
55
2
11
2
3","26
234
47
132
26
96
9
75
32
323
174
36
38
430
50
355
4
12
98
44
6
45
157
50
294
2
43
580
57
12
141
16
73
279
72
5
22
6
3",
,Subtotal,348,"1,659",25,86,106,329,43,186,4,12,265,"1,003",8,30,799,"3,305",4104,
G. Bush,CAIA,8,9,1,1,4,8,3,1,1,,1,1,1,2,17,22,39,
School of,CHLS,3,7,,2,2,4,,,,,,,,1,5,14,19,
Govt,CNPM,10,4,,1,1,1,,,,,,,,,12,6,18,
,CNSA,,2,,,1,6,,,,,,,,,1,8,9,
,INTA,2,1,,,1,,,,,,,1,,,3,2,5,
,PSAA,6,8,,,1,2,,1,,,,,,,8,11,19,
,Subtotal,29,31,1,4,10,21,3,2,1,,1,2,1,3,46,63,109,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,,,,,
