Summer 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
"Other - Special        CHEN
Populations             CLMD ECEN MARB MARE MASE MEEN PETE SABX SRPH",,,"1
1",2,1,,"2
1
2","2
4",,"2
4",,,,,"2
2
1
2
4",
University,Subtotal,,2,2,1,,5,6,,6,,,,,11,
,Total,382,926,"2,599","4,799",59,"8,765",78,"1,430","1,508",936,936,112,112,"11,321",
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
