"Summer 2010
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH BIOL CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal
Other - Special        CHEN
Populations             CLMD ECEN MARB MARE MASE MEEN PETE SABX SRPH
Subtotal
University               Total",Undergraduate,,,,Masters,,,,PhD,,Professional,Total,
,"1st Time in College
1
2
3
1
7
1
1
1
1
344
344
388","1st Time Transfer
3
1
4
1
1
4
6
3
2
1
7
1
26
2
1
1
4
169","Readmit ted
1
1
1
3
1
5
4
1
7
4
6
3
35
1
1
3
3
3
3
118","Continuing
24
30
73
94
221
51
1
217
256
168
199
10
37
230
29
228
22
381
135
1,964
379
80
9
66
30
564
394
394
655
655
1
1
2
1
3
4
1
2
15
11,395",1st Time PB,1st Time Graduate,Readmit ted,Continuing,1st Time Graduate,Contin uing,Continuing,,
,,,,,1,1,1,22,1,15,133,62,
,,,,,,,,,,,,31,
,,,,,,,,17,1,13,,108,
,,,,,,1,,20,2,22,,140,
,,,,,,,,26,4,33,,63,
,,,,,,2,,85,8,83,,404,
,,,,,,,,4,3,6,,67,
,,,,,,,,,,,,1,
,,,,,,,,,,,,221,
,,,,,,,,9,1,21,,294,
,,,,,,,,17,2,21,,222,
,,,,,,,,7,1,35,,250,
,,,,,,,,,,,,10,
,,,,,,,,10,,6,,54,
,,,,,,1,,8,,6,,255,
,,,,,,,,3,,4,,36,
,,,,,,5,,15,,27,,280,
,,,,,,,,,,,,23,
,,,,,,,,20,2,49,,465,
,,,,,,,,12,,29,,180,
,,,,,1,6,1,105,9,204,,"2,358",
,,,,,,,,25,,67,,475,
,,,,,,2,,104,38,107,,332,
,,,,,,,,,,,,9,
,,,,,5,1,,31,2,62,,167,
,,,,,,,,40,2,82,,155,
,,,,,10,10,,42,5,44,,111,
,,,,,15,13,,242,47,362,,"1,249",
,,,,,,1,1,8,,1,,542,
,,,,,,,,22,,18,,40,
,,,,,,,,3,,,,3,
,,,,,,,,1,,5,,6,
,,,,,,,,14,1,19,,34,
,,,,,10,4,,6,1,13,,34,
,,,,,10,5,1,54,2,56,133,659,
,,,,,,,,,,,,"1,002",
,,,,,,,,,,,,"1,002",
,,,,,,,,,,,,1,
,,,,,1,,,2,,,,3,
,,,,,,,,,,,,1,
,,,,,,,,,,,,2,
,,,,,,,,,,,,1,
,,,,,,,,,,,,3,
,,,,,,,,,,,,4,
,,,,,,,,,,,,1,
,,,,,,,,,,,,2,
,,,,,3,,,4,,,,7,
,,,,,4,,,6,,,,25,
,,,,,84,358,6,"2,566",167,"2,393",133,"17,777",
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,
