Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Gabon Republic,3,,,,3,
Germany,,4,6,,10,
Ghana,,6,,,6,
Greece,,1,4,,5,
Grenada,,,1,,1,
Guatemala,4,2,6,,12,
Honduras,7,,3,,10,
Hong Kong,4,1,1,,6,
Hungary,1,,,,1,
India,19,374,183,,576,
Indonesia,5,9,4,,18,
Iran,1,31,46,,78,
Iraq,3,,,,3,
Italy,,1,3,,4,
Jamaica,4,,2,,6,
Japan,,3,12,,15,
Jordan,,4,4,,8,
Kazakhstan,7,1,1,,9,
Kenya,,2,4,,6,
"Korea, Republic of",12,58,174,,244,
Kuwait,2,,1,,3,
Lebanon,,2,6,,8,
Libya,,2,,,2,
Macao,1,,,,1,
Macedonia,,,2,,2,
Malaysia,11,1,5,,17,
Mauritius,,1,,,1,
Mexico,15,16,42,,73,
Mongolia,,2,1,,3,
Morocco,,,2,,2,
Nepal,12,5,9,,26,
New Zealand,,3,1,,4,
Nicaragua,3,1,,,4,
Nigeria,8,16,7,,31,
Norway,1,1,1,,3,
Oman,1,1,3,,5,
Other Foreign or US,9,,,,9,
Page 106,,,,,,
