Summer 2010,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Geosciences,ATMO,6,13,1,1,1,3,1,2,2,1,4,14,1,1,11,27,38,
,ENGS,10,12,,,3,,,,,,,,,,13,17,30,
,ENST,12,10,,,2,2,,,,,,,,,16,13,29,
,GEOG,21,25,1,,3,4,,3,,,1,6,,,26,39,65,
,GEOL,31,48,1,1,2,9,,1,,,5,10,,,39,69,108,
,GEOP,1,4,,,,,,1,,,6,16,,,7,22,29,
,GEOS,2,,,,,,,,,,,,,,2,,2,
,MARB,1,,,,,,,,,,,,,,1,,1,
,METR,7,10,,1,2,4,,,,,,,,,9,15,24,
,OCNG,20,13,,,,1,,2,,,15,11,,,35,27,62,
,SPSG,,1,,,,,,,,,,,,,,1,1,
,USGE,,1,,,,,,,,,,,,,,1,1,
,WMHS,2,7,,,,2,,,,,2,1,,,4,10,14,
,Subtotal,113,144,3,3,13,25,1,9,,1,33,58,,1,163,241,404,
Liberal Arts,AMST,2,1,,,,,,,,,,,,,2,1,3,
,ANTH,37,21,1,,4,1,1,,,,,2,,,43,24,67,
,BIOL,,1,,,,,,,,,,,,,,1,1,
,CLSS,1,,,,,,,,,,,,,,1,,1,
,COMM,148,42,9,6,31,13,3,1,,1,4,2,,,197,65,262,
,ECON,23,119,,2,3,17,7,10,,1,15,23,,2,48,174,222,
,ENGL,144,43,8,1,26,7,11,,2,,5,3,,,196,54,250,
,FREN,3,,,,1,,1,,,,,,,,5,,5,
,GERM,,,,,,,,,,,,1,,,,1,1,
,HISP,1,3,,,2,2,,,,,,2,,,3,7,10,
,HIST,63,141,,7,11,22,1,5,2,,1,,,2,78,177,255,
,INTS,93,53,3,4,32,17,6,,,1,2,,,1,136,76,212,
,MODL,2,,,,2,2,,,,,,,,,4,2,6,
,MUSC,4,2,,2,1,2,,,,,,,,,5,6,11,
,NUTR,1,,,,,,,,,,,,,,1,,1,
,PHIL,6,23,1,1,1,3,,,,,,,,,9,27,36,
,POLS,78,130,14,2,9,25,2,7,3,2,4,4,,,110,170,280,
,PSYC,232,86,24,2,63,24,18,7,3,,3,3,,,343,122,465,
,RUSS,,2,,,1,,,,,,,,,,1,2,3,
,SOCI,74,30,16,6,26,14,5,2,,,2,2,1,1,124,55,179,
,SPAN,15,3,1,,11,7,,,,,,1,,,27,11,38,
,TCMS,11,11,2,2,1,2,1,2,,,,,,,15,17,32,
,THAR,8,2,,,1,1,,,,,,,,,9,3,12,
,USLA,,,,,1,,,,,,,,,,1,,1,
,WGST,2,,,,3,,,,,,,,,,5,,5,
,Subtotal,948,713,79,35,230,159,56,34,12,5,36,43,2,6,"1,363",995,2358,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,,,,,
