Fall 1999,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,,
Architecture,ARCH,39,21,4,4,3,1,4,2,1,2,30,18,2,1,82,41,123,
,COMG,18,2,,,1,,,,,,13,,,,32,3,35,
,COSC,227,23,1,,31,3,1,,,,2,1,4,,266,28,294,
,COSL,210,21,2,,18,4,,2,,,,,4,2,235,29,264,
,ENDL,187,186,5,,23,22,6,5,2,,4,2,6,5,233,224,457,
,ENDS,157,86,2,3,39,21,7,4,1,,9,2,1,1,216,119,335,
,LAND,41,30,,,5,2,,,,,1,3,3,,50,35,85,
,LANL,47,33,,,1,4,,1,,,,1,2,1,50,40,90,
,LDEV,11,5,,1,2,,,,,,3,3,1,,17,9,26,
,URPL,4,5,,1,,1,,,,,7,2,,,11,9,20,
,URSC,15,5,,2,1,1,,,,,13,2,,,29,10,39,
,VIZA,25,10,,,2,2,2,3,,,3,3,,,32,18,50,
,Sub-Total,981,427,14,11,126,61,20,17,4,2,85,37,23,10,1253,565,1818,
Business Admin,ACCT,273,419,6,13,35,44,3,7,2,1,6,14,3,3,328,501,829,
,AGBU,3,2,,,,,,,,,,,,,3,2,5,
,BANA,40,22,2,2,7,,5,2,1,,1,,,,56,26,82,
,BUAD,1273,1203,19,33,95,116,32,40,8,3,59,21,25,17,1511,1433,2944,
,BUAG,5,5,,,,,,,,,1,1,,,6,6,12,
,FINC,405,258,3,11,37,25,11,4,1,,18,10,3,4,478,312,790,
,INFO,418,221,13,11,37,30,39,19,2,1,19,10,6,3,534,295,829,
,LCEM,1,,,,,,,,,,,,,,1,,1,
,MGMT,281,198,3,7,27,23,5,5,2,2,16,9,3,6,337,250,587,
,MISY,20,24,,,3,4,3,4,1,,24,6,,,51,38,89,
,MKTG,192,444,6,16,22,38,4,10,2,1,11,13,1,7,238,529,767,
,MLER,15,8,,,1,,,,,,1,,,,17,8,25,
,Sub-Total,2926,2804,52,93,264,280,102,91,19,8,156,84,41,40,3560,3400,6960,
Education,CPSY,23,17,,1,2,7,1,,,,,,,1,26,26,52,
,EDAD,92,137,14,24,13,27,1,2,1,1,,2,1,1,122,194,316,
,EDCI,24,92,3,16,3,14,,2,,,2,13,,,32,137,169,
,EDHL,16,144,1,7,5,21,2,3,,1,,,,1,24,177,201,
,EDIS,31,717,,6,1,48,2,7,,4,,2,1,7,35,791,826,
,EDIT,,3,,1,,,,,,,,,,,,4,4,
,EDKI,232,246,8,6,28,10,1,2,1,4,1,,6,3,277,271,548,
,EDTC,8,24,,,1,2,1,2,,1,3,7,1,,14,36,50,
,EHRD,46,79,6,5,7,10,,,1,1,4,8,2,2,66,105,171,
,EPSY,20,66,2,4,,8,,2,,1,,5,,,22,86,108,
,HEED,4,16,,1,1,,,,,,,,,,5,17,22,
,HLTH,16,130,,7,6,17,,4,,2,,,1,,23,160,183,
,IDTC,1,1,,,,,,,,,,,,,1,1,2,
,INST,14,660,2,3,4,56,,3,,3,,,,3,20,728,748,
,KINE,164,122,2,4,18,8,1,,,,4,1,,1,189,136,325,
,PHED,6,3,,,2,1,,,,,,,,1,8,5,13,
,SPSY,6,18,,5,4,14,,,,,1,1,,1,11,39,50,
,TECR,10,36,,,2,7,3,1,,,,,,,15,44,59,
,Sub-Total,713,2511,38,90,97,250,12,28,3,18,15,39,12,21,890,2957,3847,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,,,,,,,,
