Fall 1999,,Undergraduate,,,,,Masters,,,PhD,,Professional,,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Re-Admi tted,Contin uing,1st Time Graduate,1st Time Transfer,Contin uing,1st Time Graduate,Contin uing,1st Time Professional,Contin uing,,
Geosciences,ESCI,3,2,3,1,9,8,1,15,3,19,,,16,
,GEOG,3,,12,8,132,,,,,,,,200,
,GEOL,12,,10,1,73,15,,41,3,21,,,178,
,GEOP,4,,2,,13,6,,15,3,18,,,61,
,GEOS,,,,,,1,,,,,,,1,
,METR,43,1,17,1,69,8,,34,1,17,,,191,
,OCNG,,,,,,12,,37,3,31,,,83,
,Sub-Total,65,3,44,11,296,50,,142,13,106,,,730,
Liberal Arts,ANTH,15,,9,2,70,19,,70,2,33,,,221,
,ANTL,,,1,,,,,,,,,,1,
,ECOL,3,1,,1,2,,,,,,,,7,
,ECON,14,,33,5,303,13,,18,6,50,,,442,
,ENGL,65,,49,13,455,18,,22,8,79,,,709,
,ENLL,4,,1,1,1,,,,,,,,7,
,FREN,,,,,11,,,,,,,,11,
,GERM,,,,,9,,,,,,,,9,
,HISL,2,,,,3,,,,,,,,5,
,HIST,32,1,43,13,323,13,,16,2,46,,,489,
,INTL,3,,,1,,,,,,,,,4,
,INTS,38,,15,4,162,,,,,,,,219,
,JOUL,18,,,,4,,,,,,,,22,
,JOUR,98,,41,13,531,,,1,,,,,684,
,MODL,3,1,7,,1,4,,14,,,,,30,
,MOLL,6,,,,9,,,,,,,,15,
,PHIL,3,1,6,2,51,10,,20,,,,,93,
,PHLL,1,,,,,,,,,,,,1,
,POLL,18,,,,5,,,,,,,,23,
,POLS,111,,56,13,543,4,,14,6,29,,,776,
,PSYC,164,1,89,10,886,9,,31,3,51,,,1244,
,PSYL,13,,,,8,,,,,,,,21,
,RUSS,,,,,8,,,,,,,,8,
,SCOL,5,,,,1,,,,,,,,6,
,SCOM,52,,40,16,405,5,,10,7,7,,,542,
,SOCI,10,,20,10,187,7,,24,2,29,,,289,
,SOCL,,,,,2,,,,,,,,2,
,SPAN,3,,,,52,,,,,,,,55,
,STJR,,,,,,13,,6,,,,,19,
,THAL,1,1,,,1,,,,,,,,3,
,THAR,10,2,1,3,41,,,,,,,,57,
,Sub-Total,692,8,411,107,4074,115,1,246,36,324,,,6014,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,,,,
