Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Algeria,,1,1,,2,
Angola,2,,,,2,
Argentina,2,7,5,,14,
Armenia,,3,,,3,
Australia,3,2,,,5,
Austria,1,1,1,,3,
Azerbaijan,1,8,,,9,
Bahrain,1,,,,1,
Bangladesh,11,30,9,,50,
Belarus,1,3,1,,5,
Belgium,2,,,,2,
Belize (British Honduras),2,1,,,3,
Bolivia,4,5,,,9,
Bosnia-Herzegovina,2,,,,2,
Botswana,,,1,,1,
Brazil,18,8,9,,35,
Brunei,,,1,,1,
Bulgaria,1,,2,,3,
Cameroon,2,,,,2,
Canada,20,19,14,,53,
Chile,,1,1,,2,
"China, People's Rep of",9,231,262,,502,
Colombia,13,22,10,,45,
Costa Rica,18,3,2,,23,
Cote d'Ivoire (Ivory Coast),,1,1,,2,
Croatia,2,2,,,4,
Cuba,,1,,,1,
Cyprus,3,1,1,,5,
Denmark,1,1,1,,3,
Dominica,,1,,,1,
Dominican Republic,1,1,,,2,
Ecuador,17,6,2,,25,
Egypt (A.R.E.),6,7,12,,25,
El Salvador,8,1,,,9,
Estonia,3,,,,3,
Ethiopia,,,1,,1,
France,2,35,6,,43,
Georgia (C.I.S.),,1,1,,2,
Germany,19,8,12,,39,
Ghana,1,6,3,,10,
Greece,2,7,5,,14,
Guatemala,28,4,,,32,
