"Fall 1999
Science                   APMS BIOL BMCB BOTN CHEM GENE MATH MBIO PHYS PPHY STAT TOXI ZOOL
Sub-Total
Veterinary               BIML
Medicine                 BIMS EPID GENE TOXI VMSC VPAR VPAT VPHY VTAN
VTMD VTMI VTMS VTPH
Sub-Total
Distance                  LCEM
Education                PETE
Sub-Total
General Studies       GEST
GSEN
Sub-Total
G. Bush School       BUSH
of Govt                    Sub-Total
GRAND Total",White,,Black,,Hispanic,,Asian,,American Indian,,,,International,,Unknown/Other,,,Total,,"Total
120
859
131
13
416
1
286
221
187
2
72
1
219
2528
696
1488
3
11
42
1
1
14
20
15
499
41
2
2
2835
2
3
5
2615
20
2635
42
42
43442",
,M,F,M,F,M,F,M,F,M,,F,,M,F,M,F,,M,F,,
,47,54,2,,11,2,1,1,,,,,1,,1,,,63,57,,
,213,381,11,22,43,80,34,30,,,,1,15,13,8,,8,324,535,,
,43,62,,1,3,8,3,7,,,,,,2,1,,1,50,81,,
,2,8,,,,1,,1,,,,,,1,,,,2,11,,
,146,110,6,4,21,14,12,8,,1,,,54,33,3,,4,243,173,,
,,,,,,,,,,,,,1,,,,,1,,,
,82,110,4,5,6,10,7,2,,,,,41,14,1,,4,141,145,,
,78,83,3,4,9,13,5,8,,,,1,3,6,3,,5,101,120,,
,88,7,1,,6,,2,1,,,,,68,11,3,,,168,19,,
,1,1,,,,,,,,,,,,,,,,1,1,,
,19,6,,1,,,2,,,,,,22,22,,,,43,29,,
,,,,,,,,1,,,,,,,,,,,1,,
,68,119,2,1,6,11,2,3,,,,,3,2,2,,,83,136,,
,787,941,29,38,105,139,68,62,,1,,2,208,104,22,,22,1220,1308,,
,174,381,2,15,20,53,12,22,,,,5,,1,5,,6,213,483,,
,403,777,16,44,61,91,28,36,,3,,6,1,2,7,,13,519,969,,
,,3,,,,,,,,,,,,,,,,,3,,
,5,6,,,,,,,,,,,,,,,,5,6,,
,12,11,,,2,1,1,1,,,,,6,8,,,,21,21,,
,,1,,,,,,,,,,,,,,,,,1,,
,,1,,,,,,,,,,,,,,,,,1,,
,3,5,1,,,,,,,,,,4,1,,,,8,6,,
,7,7,,,,1,,,,,,,2,3,,,,9,11,,
,4,5,,,,,,1,,,,,1,4,,,,5,10,,
,157,297,,,2,19,4,14,,1,,3,,,1,,1,165,334,,
,9,13,1,,2,,,1,,,,,8,7,,,,20,21,,
,1,,,,,,,,,,,,1,,,,,2,,,
,,2,,,,,,,,,,,,,,,,,2,,
,775,1509,20,59,87,165,45,75,,4,,14,23,26,13,,20,967,1868,,
,2,,,,,,,,,,,,,,,,,2,,,
,3,,,,,,,,,,,,,,,,,3,,,
,5,,,,,,,,,,,,,,,,,5,,,
,1032,1139,50,47,119,104,35,38,,5,,7,10,6,14,,9,1265,1350,,
,12,5,2,,1,,,,,,,,,,,,,15,5,,
,1044,1144,52,47,120,104,35,38,,5,,7,10,6,14,,9,1280,1355,,
,14,15,2,3,3,1,1,1,,,,,,2,,,,20,22,,
,14,15,2,3,3,1,1,1,,,,,,2,,,,20,22,,
,17505,16012,479,643,1954,1807,791,566,,98,,89,2153,767,308,,270,23288,20154,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,,,,,,,,,,
