Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Guyana,1,,,,1,
Honduras,20,8,1,,29,
Hong Kong,16,3,2,,21,
Iceland,,2,1,,3,
India,37,377,72,,486,
Indonesia,50,15,23,,88,
Iran,4,3,6,,13,
Ireland,2,,,,2,
Israel,12,3,1,,16,
Italy,2,6,4,,12,
Jamaica,3,,,,3,
Japan,38,8,10,,56,
Jordan,5,3,4,,12,
Kazakhstan,,11,1,,12,
Kenya,5,1,1,,7,
"Korea, (North)",,1,,,1,
"Korea, Republic of",27,144,292,,463,
Kuwait,3,2,2,,7,
Laos,,1,,,1,
Lebanon,2,1,4,,7,
Lithuania,,1,,,1,
Malaysia,8,6,4,,18,
Mali,,,1,,1,
Malta,1,1,,,2,
Mauritius,,1,,,1,
Mexico,42,47,67,,156,
Morocco,1,4,1,,6,
Mozambique,,2,,,2,
Nepal,,4,,,4,
Netherlands,1,1,3,,5,
Netherlands Antilles,2,,,,2,
Nicaragua,24,3,1,,28,
Niger,,,1,,1,
Nigeria,10,8,4,,22,
Norway,5,7,2,,14,
Oman,2,,,,2,
Other Foreign,2,2,,,4,
Pakistan,10,15,6,,31,
Panama,35,1,,,36,
Paraguay,2,3,,,5,
Peru,9,11,4,,24,
Philippines,3,3,6,,12,
