Fall 1999,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Education                CPSY EDAD EDCI EDHL EDIS EDIT EDKI EDTC EHRD EPSY HEED HLTH IDTC INST KINE PHED SPSY
TECR",,"201
826
4
548
183
2
748
253
59",,"3
122
82
50
47
52
12
48
7
5",,"49
194
87
124
56
10
24
6
45",,,,"52
316
169
201
826
4
548
50
171
108
22
183
2
748
325
13
50
59",,
,SubTotal,2824,,428,,595,,,,3847,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
