Top 10,,,,,,,,
Fall 1999  Feeder Patterns New Graduate,,,,,,,,
Texas County   Students  % Total,,,,,,,,
Harris,,169,,,8.7%,,,
Brazos,,129,,,6.7%,,,
Bexar,,52,,,2.7%,,,
Dallas,,43,,,2.2%,,,
Tarrant,,29,,,1.5%,,,
Travis,,26,,,1.3%,,,
Collin,,21,,,1.1%,,,
Fort Bend,,14,,,0.7%,,,
McLennan,,12,,,0.6%,,,
Montgomery,,12,,,0.6%,,,
State,Students  % Total,,,,,,,
Texas,814,,,42.0%,,,,
California,35,,,1.8%,,,,
Louisiana,23,,,1.2%,,,,
Illinois,23,,,1.2%,,,,
New York,19,,,1.0%,,,,
Pennsylvania,16,,,0.8%,,,,
Florida,14,,,0.7%,,,,
Ohio,14,,,0.7%,,,,
Alabama,11,,,0.6%,,,,
Missouri,11,,,0.6%,,,,
Country,,,Students  % Total,,,,,
United States,,,1137,,,58.7%,,
India,,,221,,,11.4%,,
"China, People's Rep of",,,157,,,8.1%,,
"Korea, Republic of",,,135,,,7.0%,,
France,,,28,,,1.4%,,
Mexico,,,22,,,1.1%,,
Taiwan,,,21,,,1.1%,,
Turkey,,,13,,,0.7%,,
Thailand,,,13,,,0.7%,,
Venezuela,,,12,,,0.6%,,
