Top 10,,,,,,,,
Fall 1999  Feeder Patterns First Time In College,,,,,,,,
Texas County   Students  % Total,,,,,,,,
Harris,,1225,,,18.3%,,,
Dallas,,491,,,7.3%,,,
Tarrant,,467,,,7.0%,,,
Bexar,,342,,,5.1%,,,
Collin,,262,,,3.9%,,,
Fort Bend,,235,,,3.5%,,,
Montgomery,,186,,,2.8%,,,
Travis,,169,,,2.5%,,,
Brazos,,161,,,2.4%,,,
Denton,,147,,,2.2%,,,
State,Students  % Total,,,,,,,
Texas,6389,,,95.4%,,,,
Louisiana,66,,,1.0%,,,,
New Mexico,21,,,0.3%,,,,
California,20,,,0.3%,,,,
Colorado,13,,,0.2%,,,,
Arkansas,12,,,0.2%,,,,
Oklahoma,8,,,0.1%,,,,
Illinois,6,,,0.1%,,,,
Missouri,6,,,0.1%,,,,
Virginia,6,,,0.1%,,,,
Country      Students  % Total,,,,,,,,
United States,,,6533,97.6%,,,,
India,,,16,0.2%,,,,
Mexico,,,10,0.1%,,,,
Taiwan,,,8,0.1%,,,,
United Kingdom,,,8,0.1%,,,,
Canada,,,7,0.1%,,,,
"Viet Nam, (South)",,,6,0.1%,,,,
"Korea, Republic of",,,6,0.1%,,,,
Germany,,,5,0.1%,,,,
Israel,,,5,0.1%,,,,
66,,,,,,,,
