Fall 1999,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Engineering,AERL,242,,42,,38,,,,242,,
,AERO,202,,,,,,,,282,,
,BIEN,,,6,,2,,,,8,,
,BMEL,196,,,,,,,,196,,
,BMEN,144,,16,,12,,,,172,,
,CECL,344,,,,,,,,344,,
,CECN,233,,,,,,,,233,,
,CEEL,185,,,,,,,,185,,
,CEEN,130,,,,,,,,130,,
,CHEL,322,,,,,,,,322,,
,CHEN,407,,47,,58,,,,512,,
,CPEN,,,53,,11,,,,64,,
,CPSC,289,,142,,88,,,,519,,
,CPSL,500,,,,,,,,500,,
,CVEL,295,,,,,,,,295,,
,CVEN,483,,158,,99,,,,740,,
,ELEL,368,,,,,,,,368,,
,ELEN,420,,180,,161,,,,761,,
,ENGR,,,,,6,,,,6,,
,ENTC,390,,,,,,,,390,,
,ENTL,170,,,,,,,,170,,
,HLPH,,,6,,,,,,6,,
,IDIL,282,,,,,,,,282,,
,IDIS,425,,,,,,,,425,,
,IHYG,,,11,,,,,,11,,
,INEL,98,,,,,,,,98,,
,INEN,227,,97,,47,,,,371,,
,ITDE,,,,,19,,,,19,,
,LCEM,,,8,,,,,,8,,
,MEEL,574,,,,,,,,574,,
,MEEN,682,,167,,84,,,,933,,
,NUEL,37,,,,,,,,37,,
,NUEN,37,,26,,30,,,,93,,
,OCEL,25,,,,,,,,25,,
,OCEN,32,,24,,17,,,,73,,
,PETE,139,,94,,32,,,,265,,
,PETL,91,,,,,,,,91,,
,PREN,95,,,,,,,,95,,
,RHEL,5,,,,,,,,5,,
,RHEN,12,,,,,,,,12,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,
