Headcount by College by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,,,
Fall 1999,,,,,,,,,,,,,,,,,,,,
"Fall 1999
Agriculture Architecture Business Admin Education Engineering Geosciences Liberal Arts Science
Veterinary Medicine Distance Education General Studies
G. Bush School of Govt
GRAND Total",International,,Black,,Am. Indian,,,,Asian,,Hispanic,,White,,Other,,Total,,"Total
6148
1818
6960
3847
9880
730
6014
2528
2835
5
2635
42
43442",
,M,F,M,F,M,,F,,M,F,M,F,M,F,M,F,M,F,,
,247,137,63,56,,15,,10,49,46,213,192,2708,2303,56,53,3351,2797,,
,85,37,14,11,,4,,2,20,17,126,61,981,427,23,10,1253,565,,
,156,84,52,93,,19,,8,102,91,264,280,2926,2804,41,40,3560,3400,,
,15,39,38,90,,3,,18,12,28,97,250,713,2511,12,21,890,2957,,
,1223,250,142,126,,36,,8,407,137,648,216,5416,1162,82,27,7954,1926,,
,77,31,3,4,,2,,3,4,5,23,18,320,231,5,4,434,296,,
,109,51,64,116,,9,,17,48,66,268,381,1816,2965,40,64,2354,3660,,
,208,104,29,38,,1,,2,68,62,105,139,787,941,22,22,1220,1308,,
,23,26,20,59,,4,,14,45,75,87,165,775,1509,13,20,967,1868,,
,,,,,,,,,,,,,5,,,,5,,,
,10,6,52,47,,5,,7,35,38,120,104,1044,1144,14,9,1280,1355,,
,,2,2,3,,,,,1,1,3,1,14,15,,,20,22,,
,2153,767,479,643,,98,,89,791,566,1954,1807,17505,16012,308,270,23288,20154,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,,,,,,,,,
