Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Poland,3,,,,3,
Portugal,1,,4,,5,
Qatar,,1,,,1,
Romania,1,4,10,,15,
Russia,5,20,13,,38,
San Marino,,1,,,1,
Saudi Arabia,6,9,11,,26,
Senegal,,,1,,1,
Seychelles,,2,,,2,
Sierra Leone,1,,,,1,
Singapore,15,4,5,,24,
Slovakia,1,,,,1,
South Africa,2,2,4,,8,
Spain,7,4,1,,12,
Sri Lanka (Ceylon),,5,4,,9,
Sudan,2,1,,,3,
Suriname,,1,,,1,
Sweden,5,,2,,7,
Switzerland,,3,,,3,
Syria,1,1,2,,4,
Taiwan,21,29,72,1,123,
Thailand,6,21,29,,56,
Trinidad & Tobago,3,2,1,,6,
Tunisia,3,1,,,4,
Turkey,3,27,44,,74,
Turkmenistan,3,1,,,4,
Uganda,1,,,,1,
Ukraine,3,3,2,,8,
United Arab Emirates,15,1,1,,17,
United Kingdom,17,10,10,,37,
United States,"35,275","2,681","1,722",480,"40,158",
Uruguay,2,1,4,,7,
Uzbekistan,3,8,1,,12,
Venezuela,7,25,13,,45,
"Viet Nam, (South)",16,1,4,,21,
Zambia,3,1,1,,5,
Zimbabwe (Rhodesia),1,,,,1,
