Fall 1999,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,60,,4,,3,,6,,1,,48,,2,,123,,
,COMG,20,,,,2,,,,,,13,,,,35,,
,COSC,250,,1,,34,,1,,,,3,,5,,294,,
,COSL,231,,2,,22,,2,,,,,,6,,264,,
,ENDL,373,,9,,45,,11,,2,,6,,11,,457,,
,ENDS,243,,5,,60,,11,,3,,11,,2,,335,,
,LAND,71,,,,7,,,,,,4,,3,,85,,
,LANL,80,,,,5,,1,,,,1,,3,,90,,
,LDEV,16,,1,,2,,,,,,6,,1,,26,,
,URPL,9,,1,,1,,,,,,9,,,,20,,
,URSC,20,,2,,2,,,,,,15,,,,39,,
,VIZA,35,,,,4,,5,,,,6,,,,50,,
,SubTotal,1408,,25,,187,,37,,6,,122,,33,,1818,,
Business Admin,ACCT,692,,19,,79,,10,,3,,20,,6,,829,,
,AGBU,5,,,,,,,,,,,,,,5,,
,BANA,62,,4,,7,,7,,1,,1,,,,82,,
,BUAD,2476,,52,,211,,72,,11,,80,,42,,2944,,
,BUAG,10,,,,,,,,,,2,,,,12,,
,FINC,663,,14,,62,,15,,1,,28,,7,,790,,
,INFO,639,,24,,67,,58,,3,,29,,9,,829,,
,LCEM,1,,,,,,,,,,,,,,1,,
,MGMT,479,,10,,50,,10,,4,,25,,9,,587,,
,MISY,44,,,,7,,7,,1,,30,,,,89,,
,MKTG,636,,22,,60,,14,,3,,24,,8,,767,,
,MLER,23,,,,1,,,,,,1,,,,25,,
,SubTotal,5730,,145,,544,,193,,27,,240,,81,,6960,,
Education,CPSY,40,,1,,9,,1,,,,,,1,,52,,
,EDAD,229,,38,,40,,3,,2,,2,,2,,316,,
,EDCI,116,,19,,17,,2,,,,15,,,,169,,
,EDHL,160,,8,,26,,5,,1,,,,1,,201,,
,EDIS,748,,6,,49,,9,,4,,2,,8,,826,,
,EDIT,3,,1,,,,,,,,,,,,4,,
,EDKI,478,,14,,38,,3,,5,,1,,9,,548,,
,EDTC,32,,,,3,,3,,1,,10,,1,,50,,
,EHRD,125,,11,,17,,,,2,,12,,4,,171,,
,EPSY,86,,6,,8,,2,,1,,5,,,,108,,
,HEED,20,,1,,1,,,,,,,,,,22,,
,HLTH,146,,7,,23,,4,,2,,,,1,,183,,
,IDTC,2,,,,,,,,,,,,,,2,,
,INST,674,,5,,60,,3,,3,,,,3,,748,,
,KINE,286,,6,,26,,1,,,,5,,1,,325,,
,PHED,9,,,,3,,,,,,,,1,,13,,
,SPSY,24,,5,,18,,,,,,2,,1,,50,,
,TECR,46,,,,9,,4,,,,,,,,59,,
,SubTotal,3224,,128,,347,,40,,21,,54,,33,,3847,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,,,,,,,
