Fall 1999,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ESCI,15,,2,,1,,4,,4,,5,,1,,16,,
,GEOG,167,,,,17,,,,,,,,,,200,,
,GEOL,134,,1,,13,,3,,,,23,,4,,178,,
,GEOP,28,,1,,1,,,,,,30,,1,,61,,
,GEOS,1,,,,,,,,,,,,,,1,,
,METR,162,,3,,6,,1,,1,,18,,,,191,,
,OCNG,44,,,,3,,1,,,,32,,3,,83,,
,SubTotal,551,,7,,41,,9,,5,,108,,9,,730,,
Liberal Arts,ANTH,188,,,,13,,5,,,,10,,5,,221,,
,ANTL,,,,,,,,,,,,,1,,1,,
,ECOL,6,,,,,,,,,,1,,,,7,,
,ECON,276,,16,,49,,13,,3,,79,,6,,442,,
,ENGL,597,,9,,66,,7,,1,,19,,10,,709,,
,ENLL,6,,1,,,,,,,,,,,,7,,
,FREN,10,,1,,,,,,,,,,,,11,,
,GERM,7,,,,,,,,,,1,,1,,9,,
,HISL,5,,,,,,,,,,,,,,5,,
,HIST,408,,5,,53,,6,,2,,,,15,,489,,
,INTL,4,,,,,,,,,,,,,,4,,
,INTS,152,,7,,44,,10,,1,,3,,2,,219,,
,JOUL,18,,,,4,,,,,,,,,,22,,
,JOUR,566,,30,,61,,16,,4,,2,,5,,684,,
,MODL,16,,1,,12,,,,,,1,,,,30,,
,MOLL,13,,,,2,,,,,,,,,,15,,
,PHIL,75,,,,6,,4,,,,5,,3,,93,,
,PHLL,1,,,,,,,,,,,,,,1,,
,POLL,20,,,,2,,,,,,,,1,,23,,
,POLS,635,,22,,84,,10,,3,,11,,11,,776,,
,PSYC,992,,46,,145,,26,,5,,5,,25,,1244,,
,PSYL,16,,,,3,,1,,,,,,1,,21,,
,RUSS,7,,,,,,,,,,,,1,,8,,
,SCOL,6,,,,,,,,,,,,,,6,,
,SCOM,465,,17,,39,,6,,4,,2,,9,,542,,
,SOCI,202,,23,,34,,8,,1,,17,,4,,289,,
,SOCL,2,,,,,,,,,,,,,,2,,
,SPAN,32,,,,21,,,,,,1,,1,,55,,
,STJR,12,,,,,,1,,1,,2,,3,,19,,
,THAL,2,,,,1,,,,,,,,,,3,,
,THAR,42,,2,,10,,1,,1,,1,,,,57,,
,SubTotal,4781,,180,,649,,114,,26,,160,,104,,6014,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,,,,,,,
