Fall 2000,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,,
Architecture,ARCH,42,21,3,3,4,1,3,3,2,2,45,36,2,1,99,61,160,
,COMG,16,,,,3,,,,,,15,4,,,34,4,38,
,COSC,238,25,1,,24,1,2,,,,2,,6,,273,27,300,
,COSL,198,15,2,,22,9,,2,,,,,1,,225,26,251,
,ENDL,191,162,7,,17,15,7,4,2,,3,2,5,9,232,195,427,
,ENDS,148,130,1,5,35,18,3,4,1,,8,1,3,1,199,159,358,
,LADE,3,2,,,,,,,,,2,2,,,5,4,9,
,LAND,35,22,,,2,,,1,,,1,4,3,,41,27,68,
,LANL,37,33,,,1,5,2,,,,,2,2,1,42,41,83,
,LDEV,7,,,,1,,,,,,2,1,,,10,1,11,
,URPL,3,2,,1,,,,,,,7,6,,,10,9,19,
,URSC,16,3,,1,1,1,,,,,18,3,,,35,8,43,
,VIZA,28,8,,,2,2,2,3,1,,3,6,,,36,19,55,
,Sub-Total,962,423,14,10,112,52,19,17,6,,106,67,22,12,1241,581,1822,
Business Admin,ACCT,235,390,3,11,19,34,3,11,2,,5,17,4,4,271,469,740,
,AGBU,6,2,,,,,,,,,,,,,6,2,8,
,BUAD,1035,995,22,30,72,84,30,47,7,7,67,21,22,11,1255,1195,2450,
,BUAG,1,2,,,,,,,,,1,1,,,2,3,5,
,FINC,404,269,7,4,33,23,5,5,1,,9,17,5,6,464,324,788,
,INFO,382,217,5,10,29,25,26,19,2,1,15,8,9,6,468,286,754,
,MGMT,266,189,1,7,32,25,6,4,2,,14,12,6,4,327,241,568,
,MISY,33,19,,,3,,2,2,1,,18,5,,,57,26,83,
,MKTG,215,505,3,14,18,38,3,8,2,1,11,16,4,12,256,594,850,
,MLER,23,3,,,1,,,,,,2,,,,26,3,29,
,Sub-Total,2600,2591,41,76,207,229,75,96,17,11,142,97,50,43,3132,3143,6275,
Education,CPSY,22,20,,1,2,6,1,1,,,,1,,1,25,30,55,
,EDAD,91,131,15,21,14,23,,2,1,,1,5,1,2,123,184,307,
,EDCI,24,118,4,29,8,29,,2,1,,2,16,2,3,41,197,238,
,EDHL,21,183,,7,4,20,,2,,1,,,1,1,26,214,240,
,EDIS,31,909,1,6,3,51,,4,,6,,,1,11,36,987,1023,
,EDIT,1,1,,,,,,,,,,,,,1,1,2,
,EDKI,242,297,4,6,27,20,2,2,1,2,2,2,10,3,288,332,620,
,EDTC,8,23,,,,2,,,,1,1,5,,,9,31,40,
,EHRD,57,80,7,4,5,10,,,1,1,5,7,4,,79,102,181,
,EPSY,30,103,3,7,1,19,1,2,,2,1,11,,,36,144,180,
,HEED,4,11,,1,,,,1,,,,,,,4,13,17,
,HLTH,15,95,1,6,4,12,2,2,,,,,1,,23,115,138,
,IDTC,1,,,,,,,,,,,,,,1,,1,
,INST,13,538,,5,3,39,,4,,2,,1,,5,16,594,610,
,KINE,140,135,5,,18,5,,1,,1,5,1,2,1,170,144,314,
,PHED,7,5,,,2,1,1,,,,,,1,1,11,7,18,
,SPSY,4,20,,6,5,12,,,,,1,1,,1,10,40,50,
,TECR,5,28,,,,1,,,,,,,,,5,29,34,
,Sub-Total,716,2697,40,99,96,250,7,23,4,16,18,50,23,29,904,3164,4068,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,,,,,,,,
