Country,Undergraduate,Masters,PhD,Professional,Total Students
Philippines,2,5,4,,11
Poland,1,1,,,2
Portugal,,2,4,,6
Qatar,,1,,,1
Romania,,7,8,,15
Russia,7,23,15,,45
Saudi Arabia,3,8,12,,23
Senegal,,,1,,1
Serbia,,4,2,,6
Sierra Leone,1,,,,1
Singapore,13,3,3,,19
South Africa,3,2,1,,6
Spain,6,3,1,,10
Sri Lanka (Ceylon),1,6,2,,9
Sudan,1,,,,1
Suriname,,1,,,1
Sweden,4,,,,4
Switzerland,2,1,,,3
Syria,1,2,1,,4
Taiwan,16,25,66,,107
Tanzania,1,,,,1
Texas,1,,,,1
Thailand,1,29,32,,62
Trinidad & Tobago,1,3,1,,5
Tunisia,2,2,1,,5
Turkey,8,34,44,,86
Turkmenistan,1,,,,1
Ukraine,,,1,,1
United Arab Emirates,11,3,,,14
United Kingdom,6,12,10,,28
United States,"35,562","2,751","1,724",506,"40,661"
Uruguay,,,6,,6
Uzbekistan,3,16,,,19
Venezuela,9,29,11,,49
"Viet Nam, (South)",8,,5,,13
Zambia,1,1,,,2
