Top 10,,,,,,,,
Fall 2000  Feeder Patterns First Time In College,,,,,,,,
Texas County   Students  % Total,,,,,,,,
Harris,,1086,,,16.2%,,,
Tarrant,,467,,,7.0%,,,
Dallas,,463,,,6.9%,,,
Bexar,,418,,,6.3%,,,
Fort Bend,,219,,,3.3%,,,
Montgomery,,198,,,3.0%,,,
Travis,,177,,,2.6%,,,
Brazos,,175,,,2.6%,,,
Collin,,164,,,2.5%,,,
Denton,,146,,,2.2%,,,
State,Students  % Total,,,,,,,
Texas,6330,,,94.7%,,,,
Louisiana,70,,,1.0%,,,,
New Mexico,21,,,0.3%,,,,
Oklahoma,21,,,0.3%,,,,
California,20,,,0.3%,,,,
Ohio,18,,,0.3%,,,,
Arkansas,17,,,0.3%,,,,
Florida,15,,,0.2%,,,,
Tennessee,11,,,0.2%,,,,
Colorado,10,,,0.1%,,,,
Country      Students  % Total,,,,,,,,
United States,,,6636,99.3%,,,,
Canada,,,4,0.1%,,,,
"Korea, Republic of",,,4,0.1%,,,,
Mexico,,,4,0.1%,,,,
Taiwan,,,4,0.1%,,,,
Nigeria,,,3,0.0%,,,,
India,,,3,0.0%,,,,
Colombia,,,3,0.0%,,,,
"China, People's Rep of",,,3,0.0%,,,,
Russia,,,2,0.0%,,,,
