Top 10,,,,,,,,
Fall 2000  Feeder Patterns New Graduate,,,,,,,,
Texas County   Students  % Total,,,,,,,,
Harris,,180,,,8.7%,,,
Brazos,,129,,,6.2%,,,
Tarrant,,41,,,2.0%,,,
Bexar,,38,,,1.8%,,,
Dallas,,32,,,1.5%,,,
Collin,,22,,,1.1%,,,
Montgomery,,22,,,1.1%,,,
Travis,,20,,,1.0%,,,
Fort Bend,,17,,,0.8%,,,
Bell,,15,,,0.7%,,,
State,Students  % Total,,,,,,,
Texas,823,,,39.7%,,,,
Louisiana,34,,,1.6%,,,,
California,30,,,1.4%,,,,
Arkansas,16,,,0.8%,,,,
Florida,15,,,0.7%,,,,
Oklahoma,14,,,0.7%,,,,
Illinois,12,,,0.6%,,,,
New York,11,,,0.5%,,,,
Virginia,11,,,0.5%,,,,
Colorado,11,,,0.5%,,,,
Country,,,Students  % Total,,,,,
United States,,,1146,,,55.3%,,
India,,,264,,,12.7%,,
"China, People's Rep of",,,184,,,8.9%,,
"Korea, Republic of",,,158,,,7.6%,,
Mexico,,,33,,,1.6%,,
Turkey,,,21,,,1.0%,,
Indonesia,,,20,,,1.0%,,
Taiwan,,,18,,,0.9%,,
Thailand,,,16,,,0.8%,,
Venezuela,,,14,,,0.7%,,
