Fall 2000,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,,
Geosciences,ATMO,14,5,1,1,1,1,1,2,1,1,9,2,1,3,24,7,31,
,ESCI,5,9,,,,,,,,,,,,,6,10,16,
,GEOG,95,65,,,12,3,,,,,2,2,,,112,73,185,
,GEOL,75,65,1,,7,5,2,1,,1,23,10,1,,109,85,194,
,GEOP,16,9,1,,,1,,,1,,29,5,,1,47,16,63,
,GEOS,1,,,,,,,,,,,,,,1,,1,
,METR,94,59,,,5,3,,1,,,5,5,2,2,106,71,177,
,OCNG,31,17,,,,2,1,,,,16,9,2,1,50,29,79,
,Sub-Total,331,229,3,1,25,15,4,4,2,2,84,33,6,7,455,291,746,
G. Bush School,BUSH,24,19,1,1,2,1,1,1,,,1,1,,,29,23,52,
of Govt,Sub-Total,24,19,1,1,2,1,1,1,,,1,1,,,29,23,52,
Liberal Arts,ANTH,77,106,,,8,9,2,3,,,4,8,1,6,92,132,224,
,ANTL,,1,,,,,,,,,,,,,,1,1,
,ECOL,,,,,,,,,,,1,,,,1,,1,
,ECON,292,95,3,5,33,11,10,6,4,,71,12,5,3,418,132,550,
,ENGL,147,451,2,7,17,36,1,5,,1,8,13,3,7,178,520,698,
,ENLL,,1,,,,,,,,,,,,,,1,1,
,FREN,2,10,,1,,1,,,,,,,,,2,12,14,
,GERM,2,4,,,,,1,,1,,,,,1,4,5,9,
,HIST,293,173,4,7,38,18,4,4,1,3,,,9,7,349,212,561,
,INTL,1,,,,,,,,,,,,,,1,,1,
,INTS,55,120,3,5,10,35,4,7,,,1,2,1,2,74,171,245,
,JOUL,,4,,,,1,,,,,,,1,,1,5,6,
,JOUR,187,505,4,23,18,46,6,8,,4,1,,1,10,217,596,813,
,MODL,3,3,,,,3,,,,,1,2,,,4,8,12,
,MOLL,1,,,,1,,,,,,,,,,2,,2,
,PHIL,51,20,,,3,1,3,1,,,2,,5,,64,22,86,
,POLL,1,,,,,1,,,,,,,,,1,1,2,
,POLS,390,272,7,15,45,36,5,4,1,3,10,4,7,4,465,338,803,
,PSYC,277,820,10,40,39,118,9,34,2,7,6,4,3,24,346,1047,1393,
,PSYL,1,2,,,2,1,,,,,,,,,3,3,6,
,RUSS,2,4,,,,,,,,,,,,1,2,5,7,
,SCOL,1,2,,,1,,,,,,,,,,2,2,4,
,SCOM,149,413,8,10,14,33,3,7,2,2,2,1,6,11,184,477,661,
,SOCI,67,152,6,7,12,18,5,5,,1,11,13,1,3,102,199,301,
,SOCL,1,1,,,,,,,,,,,,,1,1,2,
,SPAN,10,37,,,6,16,1,,1,,1,,,1,19,54,73,
,STJR,4,6,,,,2,,1,,1,2,3,,1,6,14,20,
,THAR,15,26,1,1,7,4,,1,,,,,,,23,32,55,
,Sub-Total,2029,3228,48,121,254,390,54,86,12,22,121,62,43,81,2561,3990,6551,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,,,,,,,,
