Country,Undergraduate,Masters,PhD,Professional,Total Students
Guatemala,25,5,,,30
Honduras,16,3,4,,23
Hong Kong,6,4,4,,14
Hungary,,1,,,1
Iceland,,2,1,,3
India,33,534,66,,634
Indonesia,36,35,20,,91
Iran,1,5,10,,16
Israel,1,1,,,2
Italy,1,4,2,,7
Jamaica,3,1,,,4
Japan,18,5,12,,35
Jordan,4,5,7,,16
Kazakhstan,,11,1,,12
Kenya,3,1,1,,5
"Korea, Republic of",16,179,359,,555
Kuwait,2,4,2,,8
Laos,,1,,,1
Lebanon,1,3,4,,8
Lithuania,,1,,,1
Malawi (Central Africa),,,1,,1
Malaysia,2,5,5,,12
Malta,,2,,,2
Mauritius,,,1,,1
Mexico,28,46,63,,137
Morocco,1,3,1,,5
Nepal,,2,,,2
Netherlands,1,2,3,,6
Netherlands Antilles,1,,,,1
New Zealand,,1,,,1
Nicaragua,16,3,1,,20
Nigeria,11,11,6,,28
Norway,4,3,1,,8
Oman,2,1,,,3
Other Foreign,2,3,2,,7
Pakistan,8,18,5,,31
Panama,29,2,,,31
Paraguay,2,3,,,5
Peru,4,11,3,,18
