Fall 2000,,Undergraduate,,,,,Masters,,,PhD,,Pr,ofessional,,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Re Admitted,Contin uing,1st Time Graduate,1st Time Transfer,Contin uing,1st Time Graduate,Contin uing,1st Time Professional,Re Admitted,Contin uing,,
Geosciences,ATMO,2,1,1,2,13,8,,12,5,6,,,,31,
,ESCI,,,,,,,,,,,,,,16,
,GEOG,4,,8,,127,7,,15,4,18,,,,185,
,GEOL,13,,7,3,84,17,,44,2,24,,,,194,
,GEOP,3,,,,15,8,,17,,20,,,,63,
,GEOS,,,,,,,,1,,,,,,1,
,METR,39,,19,,90,1,,20,,7,,,,177,
,OCNG,,,,,,16,,34,1,28,,,,79,
,Sub-Total,61,1,35,5,329,57,,143,12,103,,,,746,
G. Bush School,BUSH,,,,,,22,,30,,,,,,52,
of Govt,Sub-Total,,,,,,22,,30,,,,,,52,
Liberal Arts,ANTH,15,,10,5,76,16,,63,4,35,,,,224,
,ANTL,1,,,,,,,,,,,,,1,
,ECOL,,,1,,,,,,,,,,,1,
,ECON,18,,46,10,376,17,,15,14,54,,,,550,
,ENGL,49,,30,20,472,16,,31,8,72,,,,698,
,ENLL,1,,,,,,,,,,,,,1,
,FREN,2,,2,,10,,,,,,,,,14,
,GERM,1,,1,,7,,,,,,,,,9,
,HIST,59,,35,10,380,4,,25,5,43,,,,561,
,INTL,1,,,,,,,,,,,,,1,
,INTS,31,,12,6,196,,,,,,,,,245,
,JOUL,3,,2,,1,,,,,,,,,6,
,JOUR,109,,36,7,660,,,1,,,,,,813,
,MODL,,,,,1,4,,7,,,,,,12,
,MOLL,2,,,,,,,,,,,,,2,
,PHIL,6,,,4,48,16,,12,,,,,,86,
,POLL,2,,,,,,,,,,,,,2,
,POLS,105,,47,17,588,8,,3,6,29,,,,803,
,PSYC,210,,73,17,996,12,,34,3,48,,,,1393,
,PSYL,6,,,,,,,,,,,,,6,
,RUSS,,,1,,6,,,,,,,,,7,
,SCOL,4,,,,,,,,,,,,,4,
,SCOM,74,,47,15,489,9,,10,3,14,,,,661,
,SOCI,15,,17,7,196,8,,23,3,32,,,,301,
,SOCL,1,,1,,,,,,,,,,,2,
,SPAN,8,,4,7,54,,,,,,,,,73,
,STJR,,,,,,5,,15,,,,,,20,
,THAR,13,,1,2,39,,,,,,,,,55,
,Sub-Total,736,,366,127,4595,115,,239,46,327,,,,6551,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,,,,,
