"Fall 2000
Science                    APHY APMS BIOL BMCB BOTN CHEM GENE MATH MBIO PHYS PPHY STAT TOXI ZOOL
Sub-Total
Veterinary               BIML
Medicine                 BIMS EPID GENE
LAMD TOXI VMSC VPAT VPHY VTAN VTMD VTMI VTMS
Sub-Total
Distance                  EDTC
Education                INEN PETE
Sub-Total
General Studies       GEST
GSEN
Sub-Total
Exchange                REEP
Sub-Total
GRAND Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,,Total,,"Total
1
108
851
125
12
429
1
299
209
186
2
87
1
203
2514
1182
990
2
14
1
35
1
12
19
12
506
40
5
2819
1
1
1
3
3203
1
3204
21
21
44026",
,M,F,M,F,M,F,M,F,M,F,,M,F,M,,F,,M,F,,
,1,,,,,,,,,,,,,,,,,1,,,
,40,55,1,1,7,2,,,,,,1,,,1,,,50,58,,
,198,393,9,23,47,76,37,31,,,,14,5,,9,,9,314,537,,
,33,56,1,4,2,6,6,10,,,1,,3,,1,,2,43,82,,
,2,6,,,,1,,,1,,,,2,,,,,3,9,,
,157,114,5,8,17,10,12,10,1,,,55,35,,2,,3,249,180,,
,,,,,,,,,,,,1,,,,,,1,,,
,84,117,2,2,9,8,7,3,,,,42,18,,1,,6,145,154,,
,64,85,1,3,13,13,2,9,,,,6,6,,3,,4,89,120,,
,83,13,1,,6,,2,2,,,,64,10,,5,,,161,25,,
,1,,,,,,,,,,,,1,,,,,1,1,,
,15,10,,1,2,,1,2,,,,33,23,,,,,51,36,,
,,,,,,,,1,,,,,,,,,,,1,,
,55,115,2,,5,15,1,4,1,,,1,1,,3,,,68,135,,
,733,964,22,42,108,131,68,72,3,,1,217,104,,25,,24,1176,1338,,
,304,626,3,22,42,101,23,34,2,,3,,2,,6,,14,380,802,,
,284,491,11,27,36,64,17,28,4,,3,2,6,,9,,8,363,627,,
,,2,,,,,,,,,,,,,,,,,2,,
,6,6,,,,,,,,,,,1,,1,,,7,7,,
,,,,,,1,,,,,,,,,,,,,1,,
,10,9,,,2,1,1,1,,,,7,4,,,,,20,15,,
,,1,,,,,,,,,,,,,,,,,1,,
,2,4,1,,,1,,,,,,3,1,,,,,6,6,,
,5,6,,1,1,1,1,,,,,1,3,,,,,8,11,,
,3,5,,,,,,,,,,2,2,,,,,5,7,,
,153,301,,,3,21,4,14,1,,3,,,,4,,2,165,341,,
,12,13,1,,3,,,1,,,,3,7,,,,,19,21,,
,2,3,,,,,,,,,,,,,,,,2,3,,
,781,1467,16,50,87,190,46,78,7,,9,18,26,,20,,24,975,1844,,
,,,,,,,,,,,,,,,,,1,,1,,
,1,,,,,,,,,,,,,,,,,1,,,
,1,,,,,,,,,,,,,,,,,1,,,
,2,,,,,,,,,,,,,,,,1,2,1,,
,1354,1247,63,55,153,160,50,43,7,,11,9,11,,20,,20,1656,1547,,
,,1,,,,,,,,,,,,,,,,,1,,
,1354,1248,63,55,153,160,50,43,7,,11,9,11,,20,,20,1656,1548,,
,,,,,,,,,,,,13,8,,,,,13,8,,
,,,,,,,,,,,,13,8,,,,,13,8,,
,17261,16412,439,626,1885,1799,778,603,102,,89,2440,898,,364,,330,23269,20757,,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,,,,,,,,,,
