Fall 2000,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,574,0.3%,25,-24.2%,38,-9.5%,2,0.0%,1,0.0%,0,-100.0%,6,0.0%,646,-1.8%,
,AGBL,202,-13.7%,0,-100.0%,10,-37.5%,1,0.0%,2,0.0%,5,25.0%,3,-40.0%,223,-15.8%,
,AGBU,240,42.9%,3,50.0%,11,-26.7%,1,100.0%,,,13,85.7%,6,100.0%,274,40.5%,
,AGEC,281,-2.8%,10,-28.6%,21,-16.0%,4,-33.3%,,,55,10.0%,5,0.0%,376,-3.3%,
,AGED,72,71.4%,2,-33.3%,3,200.0%,1,100.0%,,,4,33.3%,1,100.0%,83,69.4%,
,AGEN,135,-15.6%,3,0.0%,9,-50.0%,,,0,-100.0%,16,-23.8%,5,150.0%,168,-18.0%,
,AGJR,60,25.0%,4,33.3%,9,80.0%,,,3,50.0%,,,1,0.0%,77,30.5%,
,AGLS,170,31.8%,29,93.3%,24,9.1%,6,20.0%,2,100.0%,3,200.0%,3,50.0%,237,35.4%,
,AGRO,123,-6.8%,,,6,0.0%,,,0,-100.0%,10,-47.4%,4,0.0%,143,-11.7%,
,AGSC,108,35.0%,,,7,16.7%,1,100.0%,,,,,3,0.0%,119,33.7%,
,AGSM,148,14.7%,0,-100.0%,6,50.0%,2,100.0%,,,3,0.0%,0,-100.0%,159,13.6%,
,ANBR,1,-66.7%,,,,,,,,,0,-100.0%,,,1,-75.0%,
,ANSC,716,-6.4%,4,33.3%,32,-5.9%,3,-25.0%,5,-16.7%,12,-14.3%,10,-16.7%,782,-6.7%,
,BESC,129,-4.4%,6,50.0%,21,90.9%,2,-33.3%,1,0.0%,1,0.0%,4,100.0%,164,4.5%,
,BICH,215,5.9%,14,-12.5%,25,-7.4%,31,24.0%,,,33,10.0%,10,-9.1%,328,5.1%,
,BSEN,16,45.5%,1,0.0%,5,150.0%,2,0.0%,,,5,0.0%,,,29,38.1%,
,DASC,15,-16.7%,,,1,0.0%,,,,,,,0,-100.0%,16,-20.0%,
,ENTO,72,-13.3%,,,8,14.3%,4,-20.0%,,,11,0.0%,1,0.0%,96,-10.3%,
,FISC,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,FLOR,2,-75.0%,,,,,,,,,0,-100.0%,,,2,-77.8%,
,FORS,47,-9.6%,,,2,100.0%,,,,,11,22.2%,2,0.0%,62,-1.6%,
,FSTC,70,-18.6%,4,0.0%,10,-41.2%,9,12.5%,1,100.0%,34,25.9%,3,0.0%,131,-9.7%,
,GENE,200,-9.1%,3,0.0%,32,33.3%,9,50.0%,1,0.0%,19,-9.5%,10,0.0%,274,-3.9%,
,HORT,136,-8.7%,,,7,-30.0%,2,0.0%,2,100.0%,10,0.0%,5,-16.7%,162,-9.0%,
,MEPS,5,100.0%,,,,,,,,,7,100.0%,,,12,100.0%,
,NRDV,5,-16.7%,,,,,,,,,,,,,5,-16.7%,
,NUSC,215,6.4%,2,-60.0%,26,13.0%,7,16.7%,1,-66.7%,2,-33.3%,2,-50.0%,255,3.7%,
,NUTR,53,8.2%,,,6,100.0%,1,0.0%,,,16,45.5%,,,76,18.8%,
,PLBR,13,62.5%,,,0,-100.0%,,,,,13,8.3%,,,26,18.2%,
,PLPA,15,-16.7%,,,2,0.0%,0,-100.0%,,,16,-20.0%,,,33,-19.5%,
,PLSC,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,POSC,116,-11.5%,1,-50.0%,16,14.3%,3,-25.0%,1,0.0%,7,75.0%,1,0.0%,145,-7.6%,
,PPHY,0,-100.0%,,,0,-100.0%,,,,,4,-80.0%,,,4,-85.7%,
,PPRO,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,PREP,21,23.5%,1,100.0%,2,0.0%,,,,,3,-25.0%,1,0.0%,28,16.7%,
,PSSC,6,-45.5%,,,,,,,,,1,100.0%,,,7,-36.4%,
,RENR,21,-8.7%,,,2,100.0%,,,,,1,100.0%,1,100.0%,25,4.2%,
,RLEM,120,0.8%,,,6,-14.3%,2,100.0%,1,100.0%,10,-33.3%,1,-75.0%,140,-4.1%,
,RPTS,282,31.8%,4,33.3%,17,-10.5%,3,-40.0%,1,0.0%,20,33.3%,5,-16.7%,332,26.2%,
,RRDV,1,-75.0%,0,-100.0%,,,,,,,1,0.0%,,,2,-66.7%,
,RSOC,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,SOSC,26,-18.8%,,,,,,,,,7,-12.5%,2,0.0%,35,-16.7%,
,TOXI,1,0.0%,,,,,,,,,,,,,1,0.0%,
,WFSC,457,2.5%,2,100.0%,34,-10.5%,7,0.0%,2,-33.3%,25,-19.4%,10,0.0%,537,0.4%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,,,,,,,
