Spring 2010,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,AGBL,109,-25.9%,0,-100.0%,9,-35.7%,3,0.0%,1,100.0%,3,50.0%,8,700.0%,133,-20.8%,
,AGBU,146,15.0%,1,100.0%,19,35.7%,4,100.0%,,,22,29.4%,1,100.0%,193,20.6%,
,AGCJ,127,15.5%,6,200.0%,11,37.5%,3,200.0%,1,100.0%,,,1,100.0%,149,23.1%,
,AGEC,369,5.4%,7,40.0%,33,6.5%,4,-20.0%,1,-66.7%,85,23.2%,4,100.0%,503,8.6%,
,AGED,69,-11.5%,10,-16.7%,8,33.3%,0,-100.0%,,,3,-40.0%,0,-100.0%,90,-12.6%,
,AGEN,0,-100.0%,,,0,-100.0%,0,-100.0%,,,0,-100.0%,,,0,-100.0%,
,AGLS,50,-49.5%,10,-41.2%,18,-43.8%,1,-83.3%,0,-100.0%,1,-50.0%,1,-50.0%,81,-49.4%,
,AGRO,129,13.2%,5,150.0%,12,9.1%,5,66.7%,2,-33.3%,5,-16.7%,2,0.0%,160,13.5%,
,AGSC,108,2.9%,2,100.0%,11,83.3%,,,,,,,1,100.0%,122,8.9%,
,AGSM,132,5.6%,2,0.0%,12,50.0%,4,0.0%,,,1,100.0%,1,0.0%,152,8.6%,
,ALEC,17,100.0%,4,100.0%,1,100.0%,1,100.0%,,,,,,,23,100.0%,
,ALED,411,-21.9%,35,-32.7%,48,-5.9%,1,-66.7%,6,20.0%,4,0.0%,2,-33.3%,507,-21.3%,
,ANBR,8,60.0%,,,,,,,,,1,100.0%,,,9,80.0%,
,ANSC,621,-4.6%,9,-10.0%,85,-9.6%,9,28.6%,5,-16.7%,7,0.0%,3,50.0%,739,-4.9%,
,BAEN,117,30.0%,7,133.3%,19,35.7%,12,71.4%,1,0.0%,41,13.9%,,,197,30.5%,
,BESC,109,9.0%,10,-28.6%,45,36.4%,15,15.4%,3,200.0%,3,50.0%,,,185,13.5%,
,BICH,146,-1.4%,11,22.2%,24,-17.2%,40,37.9%,2,100.0%,44,10.0%,1,-50.0%,268,3.9%,
,BIOT,2,-33.3%,,,0,-100.0%,2,100.0%,,,15,-46.4%,,,19,-40.6%,
,BSEN,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,CDEV,15,150.0%,1,0.0%,,,0,-100.0%,,,,,1,0.0%,17,88.9%,
,DASC,3,-40.0%,,,1,0.0%,,,,,,,,,4,-33.3%,
,ECOR,11,37.5%,,,4,300.0%,,,,,,,1,100.0%,16,77.8%,
,ENST,12,71.4%,,,1,-50.0%,,,,,,,,,13,44.4%,
,ENTO,65,-25.3%,3,-50.0%,18,-35.7%,1,-66.7%,1,0.0%,10,0.0%,1,0.0%,99,-27.2%,
,FISC,3,200.0%,1,0.0%,0,-100.0%,,,,,,,,,4,33.3%,
,FIVL,26,0.0%,1,-75.0%,24,84.6%,3,100.0%,1,100.0%,,,,,55,27.9%,
,FIVS,7,100.0%,,,1,100.0%,,,,,,,,,8,100.0%,
,FLOR,5,66.7%,0,-100.0%,,,,,,,,,,,5,25.0%,
,FORS,28,12.0%,1,0.0%,4,33.3%,1,100.0%,1,100.0%,7,75.0%,1,100.0%,43,30.3%,
,FSTC,84,7.7%,3,-57.1%,20,-13.0%,4,0.0%,1,0.0%,20,0.0%,,,132,-0.8%,
,GENE,91,13.8%,1,-75.0%,17,0.0%,8,-20.0%,,,15,0.0%,2,0.0%,134,4.7%,
,HORT,137,-0.7%,,,25,25.0%,1,-50.0%,2,-33.3%,17,-10.5%,,,182,0.0%,
,MEPS,6,-25.0%,1,100.0%,2,0.0%,,,,,11,-15.4%,,,20,-13.0%,
,NRDV,16,33.3%,,,1,0.0%,,,,,1,0.0%,,,18,28.6%,
,NUSC,329,-12.3%,8,-33.3%,78,-14.3%,25,8.7%,1,-66.7%,5,-16.7%,5,400.0%,451,-11.7%,
,NUTR,29,26.1%,2,100.0%,3,50.0%,,,,,15,15.4%,1,100.0%,50,28.2%,
,PLBR,20,42.9%,1,0.0%,2,0.0%,1,0.0%,,,17,30.8%,,,41,32.3%,
,PLPA,7,0.0%,1,100.0%,6,50.0%,,,,,14,0.0%,1,-50.0%,29,7.4%,
,POSC,133,6.4%,3,0.0%,27,28.6%,1,0.0%,2,-50.0%,8,-27.3%,1,0.0%,175,5.4%,
,PPRO,2,100.0%,,,,,,,,,,,,,2,100.0%,
,PREP,13,-31.6%,1,-50.0%,2,100.0%,1,100.0%,,,5,25.0%,1,100.0%,23,-8.0%,
,PSSC,4,100.0%,,,1,-50.0%,1,100.0%,,,0,-100.0%,,,6,20.0%,
,RENR,42,23.5%,,,9,125.0%,0,-100.0%,,,,,1,100.0%,52,33.3%,
,RLEM,91,-20.9%,3,-25.0%,15,-16.7%,0,-100.0%,1,100.0%,3,50.0%,1,0.0%,114,-19.1%,
,RPTS,227,-11.7%,9,-10.0%,32,23.1%,11,175.0%,0,-100.0%,24,-17.2%,3,0.0%,306,-7.8%,
,SOSC,17,13.3%,,,2,0.0%,2,100.0%,,,7,-12.5%,,,28,7.7%,
,SPSA,40,-11.1%,,,5,-16.7%,,,,,1,100.0%,,,46,-9.8%,
,TOXI,,,,,1,0.0%,,,,,1,0.0%,,,2,0.0%,
,USAL,120,64.4%,9,50.0%,13,85.7%,,,1,100.0%,1,-50.0%,,,144,63.6%,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,,,,
