"Spring 2010
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
2
1
4
2
2
3
3
11
11","Sophomore
3
1
1
1
2
1
9
5
1
6
1
1
15
15","Junior
1
1
1
1
4
3
1
6
1
17
2
1
3
1
1
6
6","Senior
1
1
2
6
1
2
1
2
3
2
1
20
3
3
3
3",PB,"Total
2
1
3
7
7
1
7
1
6
7
11
3
50
10
2
1
1
14
8
8
32
32",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,,1,1,1,1,2,2,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,4,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,6,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,11,
,,,,,,,,,,2,2,,,5,
,,,,,,,,1,1,3,3,,,54,
,,,,,,,,,,,,,,10,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,3,
,,,,,,,,1,1,3,3,,,18,
,,,,,,,,,,,,,,10,
,,,,,,,,,,,,2,2,10,
,,,,,,,,,,,,,,32,
,,,,,,,,,,,,,,32,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,
