Spring 2010,,Undergraduate,,,,Masters,,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time Transfer,Readmitte d,Continuing,1st Time PB,1st Time Graduate,Readmitte d,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
"Agriculture             AGBL
AGBU AGCJ AGEC AGED AGLS AGRO AGSC AGSM ALEC ALED ANBR ANSC BAEN BESC BICH BIOT CDEV DASC ECOR ENST ENTO FISC FIVL FIVS FLOR FORS FSTC GENE HORT MEPS NRDV NUSC NUTR PLBR PLPA POSC PPRO PREP PSSC RENR RLEM RPTS SOSC SPSA TOXI USAL WFSC WISC WMHS",,"1
2
1
1
1","29
14
42
7
16
8
5
11
20
2
5
1
2
3
2
2
1
2
2
4
6
12
14
1
6
5
24
4
10","1
4
1
6
3
2
2
9
2
5
2
1
3
2
7
2
2
6
2
3","102
151
131
329
68
111
112
142
454
638
128
175
160
14
4
13
11
51
54
8
3
21
95
95
143
432
138
5
46
59
223
42
142
317","1
2
2
1
1
1
2
1
1","5
8
5
1
5
6
2
10
4
1
3
2
3
3
8
1
1
3
5
3
2
2",1,"37
52
35
15
3
10
27
6
53
39
40
19
19
4
1
8
21
10
14
4
17
28
14
9
12
2
12
24
19
10
58
7
7","2
1
3
3
2
2
1
1
2
1
1",,"67
50
13
3
1
9
22
64
26
6
10
24
14
16
17
16
19
8
9
19
28
15
2
58
2",,"133
193
149
503
90
81
160
122
152
23
507
9
739
197
185
268
19
17
4
16
13
99
4
55
8
5
43
132
134
182
20
18
451
50
41
29
175
2
23
6
52
114
306
28
46
2
144
449
10
9",
,Subtotal,6,260,65,"4,617",12,83,1,636,19,,518,,"6,217",
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
